Date,Price,Open,High,Low,Vol.,Change %
"Mar 12, 2026","70,541.34","70,191.86","70,800","69,205.91",22.00K,0.50%
"Mar 11, 2026","70,191.86","69,948.64","71,321","68,977.91",27.25K,0.35%
"Mar 10, 2026","69,948.63","68,432.16","71,777","68,391.41",32.60K,2.22%
"Mar 09, 2026","68,432.16","65,971.2","69,516.65","65,821.97",28.90K,3.73%
"Mar 08, 2026","65,971.2","67,262.91","68,200","65,618.49",21.59K,-1.92%
"Mar 07, 2026","67,262.91","68,114.02","68,551.04","66,915.26",12.72K,-1.25%
"Mar 06, 2026","68,114.02","70,891.02","71,419.98","67,744.78",22.63K,-3.92%
"Mar 05, 2026","70,890.72","72,666.77","73,558.15","70,645.47",26.59K,-2.44%
"Mar 04, 2026","72,666.77","68,338.01","74,050","67,400",44.92K,6.33%
"Mar 03, 2026","68,338","68,830.06","69,258.08","66,158",24.97K,-0.71%
"Mar 02, 2026","68,830.06","65,776.48","70,096","65,259.21",32.01K,4.64%
"Mar 01, 2026","65,776.47","66,973.26","68,199.99","65,056",23.20K,-1.79%
"Feb 28, 2026","66,973.26","65,872.09","67,760","63,030",22.55K,1.67%
"Feb 27, 2026","65,872.1","67,485.19","68,216.8","64,914.46",21.23K,-2.39%
"Feb 26, 2026","67,485.18","67,988.04","68,860","66,500",20.74K,-0.74%
"Feb 25, 2026","67,988.04","64,058.15","69,988.83","63,913.27",30.75K,6.13%
"Feb 24, 2026","64,058.15","64,656.01","65,026.75","62,510.28",23.10K,-0.92%
"Feb 23, 2026","64,656.02","67,643.39","67,684.86","63,888.79",33.08K,-4.42%
"Feb 22, 2026","67,643.4","67,975.93","68,245","67,190",8.18K,-0.49%
"Feb 21, 2026","67,975.93","68,020","68,698.7","67,534.69",8.03K,-0.06%
"Feb 20, 2026","68,020.01","67,003.73","68,318.39","66,280.2",35.35K,1.52%
"Feb 19, 2026","67,003.73","66,461","67,320","65,631.83",14.54K,0.82%
"Feb 18, 2026","66,461","67,503.52","68,476.22","65,870",15.49K,-1.54%
