episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2148.0,0.02,40.6260283891808,-6.611833257257983
1,376,974.5,0.02,52.75156254464007,-0.7904213415966568
2,376,1788.0,0.02,55.03092112439744,-2.0073702754502363
3,376,1854.0,0.02,53.23065086628528,-1.9242937499671207
4,376,1256.5,0.02,54.077291377047274,-1.922970602011427
5,376,616.5,0.02,53.32877575082982,-1.5663563310604622
6,376,2571.0,0.02,69.80991461936463,3.776624985236459
7,376,1747.0,0.02,61.53627519404635,4.246933660985149
8,376,2130.0,0.02,59.75311494888143,4.293939467935645
9,376,891.5,0.02,63.343364416284764,4.217688907314329
10,376,1467.5,0.02,66.15654772900521,4.17591277050211
11,376,1711.0,0.02,93.4625191891447,11.63183798308068
12,376,1456.5,0.02,85.4369299462501,11.865955707874704
13,376,1099.0,0.02,83.62227826930106,11.769302812028439
14,376,1969.0,0.02,86.56260119600499,11.643956338471554
15,376,1768.0,0.02,80.7210452100064,11.936198131835207
16,376,1874.0,0.02,92.67459999754074,20.13662949267854
17,376,941.5,0.02,84.3520688554074,19.792400202852615
18,376,2137.5,0.02,89.04084695653712,19.798756607035372
19,376,2403.0,0.02,86.30802063739046,20.0703558287722
20,376,1629.0,0.02,80.91606268476933,19.98561554513079
21,376,912.0,0.02,106.44800214564546,22.982472069720004
22,376,1793.0,0.02,108.12191791737334,22.945255528105065
23,376,2016.0,0.02,105.17062803024942,23.09880486955034
24,376,2314.0,0.02,95.14320135116577,22.895011975410135
25,376,1683.0,0.02,100.17311192573385,22.85693356838632
26,376,2071.0,0.02,136.17645292079195,32.35754411271278
27,376,2037.5,0.02,145.8013843881323,32.59677340121979
28,376,1412.0,0.02,133.5400365768595,32.38841884947838
29,376,2725.5,0.02,126.96348205525824,33.00647577326348
30,376,1114.5,0.02,122.8718767064683,32.7868352037795
31,376,1733.5,0.02,143.48017543427488,36.959059872525806
32,376,1358.0,0.02,135.39350767845804,37.101378410420516
33,376,2085.0,0.02,132.43250675404326,37.33211240362614
34,376,2184.5,0.02,123.0289805594911,37.09164896417171
35,376,1268.0,0.02,126.71467026243819,37.23262212124277
36,376,2174.0,0.02,148.28636182622708,43.55592135672874
37,376,1469.0,0.02,150.68999113935106,43.580099349326275
38,376,1770.5,0.02,140.49617578628215,43.80284189670644
39,376,1306.0,0.02,142.1183288452473,43.59889579833822
40,376,2132.0,0.02,145.9342156166726,43.425834402124934
41,376,1595.5,0.02,158.12975918993035,50.484612038794985
42,376,1227.0,0.02,150.13648788979714,50.79196576869234
43,376,1626.0,0.02,140.9456884810265,50.497497315102436
44,376,1107.0,0.02,158.62375132581022,50.61757683246694
45,376,1118.5,0.02,144.11408411188327,50.681018372799485
46,376,2098.5,0.02,161.5472865916313,53.14593975594703
47,376,2035.0,0.02,157.32057733738677,53.06321731526801
48,376,1263.0,0.02,146.1011413513346,53.39139539637464
49,376,1561.5,0.02,151.53099980252856,52.20052987971204
