episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2028.0,0.02,35.64375458273053,-6.854926972835151
1,376,1167.0,0.02,30.847392282587418,0.2983224620458056
2,376,2344.0,0.02,38.46829527743319,-0.07594389309227328
3,376,1754.0,0.02,34.23363860110019,0.6084201197159115
4,376,1005.0,0.02,35.66503109830491,0.5207985407119811
5,376,936.0,0.02,36.358465554866385,0.37394455869117393
6,376,2194.5,0.02,51.01301393864003,5.188508635010333
7,376,2183.5,0.02,41.42153142614568,5.646953115437893
8,376,2266.0,0.02,41.80499861088205,5.942224923283495
9,376,224.0,0.02,40.273698748426234,5.86490332192563
10,376,1582.5,0.02,46.7228219965671,5.682476221881014
11,376,2030.0,0.02,53.13698983192444,10.720034677931602
12,376,2180.0,0.02,47.98182180080008,10.90586044433269
13,376,1626.5,0.02,45.52101381788862,11.013757466001714
14,376,2274.5,0.02,45.90677227111573,11.018086158214732
15,376,2554.0,0.02,45.32838335189413,11.276761855216737
16,376,2276.0,0.02,60.78825217612246,19.037244378252232
17,376,1233.0,0.02,59.8006287787823,18.927717591853852
18,376,2466.0,0.02,60.78818368150833,18.921586125455004
19,376,1951.0,0.02,57.69333740498157,19.141066924054574
20,376,1737.0,0.02,63.07930033764941,18.818995541714607
21,376,1749.5,0.02,78.05638231115138,26.078024438086977
22,376,1427.0,0.02,92.78436663810243,25.613849289873812
23,376,1807.5,0.02,96.28119693918431,24.98664039753853
24,376,2189.5,0.02,104.30006944372299,25.720153577784274
25,376,1217.0,0.02,106.94672379595168,25.45487438110595
26,376,1184.5,0.02,238.44927135934222,35.32354077189527
27,376,1549.5,0.02,257.80735030580075,38.30539539773414
28,376,884.0,0.02,252.46812089960625,37.60693446626055
29,376,1357.0,0.02,189.38014719334055,36.14163783509681
30,376,360.0,0.02,387.95097782256755,34.832776470070186
31,376,1003.5,0.02,106.82883313361634,53.41597204005465
32,376,1336.5,0.02,106.13898449755729,53.46041396323671
33,376,905.5,0.02,95.03268540666458,53.49940111282024
34,376,946.0,0.02,83.26414495326102,53.600236446299455
35,376,771.0,0.02,98.6166345971696,53.26665782928467
36,376,2661.0,0.02,91.56800284284226,57.56001097090701
37,376,1907.5,0.02,76.37518547950907,58.117704614679866
38,376,1970.0,0.02,75.92572019455281,58.000365267408654
39,376,1887.5,0.02,84.46290277420206,58.040694906356485
40,376,2103.0,0.02,81.88583405981673,58.10300631218768
41,376,940.5,0.02,121.3419557632284,68.59383168119065
42,376,1127.0,0.02,137.35909306749383,68.21794539309562
43,376,1633.5,0.02,133.17099870012163,67.99551872496909
44,376,868.0,0.02,128.77188629292428,68.3483289353391
45,376,781.0,0.02,147.97660910829583,67.22760512981009
46,376,1144.0,0.02,117.7160375168983,61.10739977816318
47,376,1759.5,0.02,106.40175050877511,61.31390417383072
48,376,1611.5,0.02,107.90786256181433,60.56241916088348
49,376,1350.0,0.02,102.91463119932946,60.686041821824745
