episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,1972.0,0.02,23.102471821385958,-7.991717688938277
1,376,166.0,0.02,29.561070716127436,-0.36023521044370815
2,376,2001.5,0.02,58.41310496279534,-2.6813915106071593
3,376,2166.0,0.02,44.89056805093238,-0.7033628378740878
4,376,2051.0,0.02,43.206869990267656,-0.4279399007543961
5,376,2334.5,0.02,39.31803869693837,-0.038360383812377746
6,376,1838.0,0.02,38.957285736469515,8.725302352867228
7,376,2121.5,0.02,36.73509734995822,8.84187063257745
8,376,1329.0,0.02,35.11522554843984,8.943279906790307
9,376,2134.5,0.02,37.858942988071036,8.894005802083523
10,376,1482.5,0.02,34.297659356543356,8.996497461136352
11,376,2454.5,0.02,42.00687463486448,16.774367943723153
12,376,2225.0,0.02,37.53792079458845,16.904350275688984
13,376,2044.0,0.02,35.839406046461555,17.138306392000075
14,376,1577.0,0.02,34.71784913032613,17.19068876733171
15,376,2077.5,0.02,36.68576876914248,17.234104392376352
16,376,2189.0,0.02,47.73873255354293,29.072193810280332
17,376,1107.5,0.02,43.98795915410874,29.025422770926294
18,376,2101.5,0.02,42.470166700951594,28.856480172339907
19,376,664.5,0.02,42.463049586783065,29.166328967885768
20,376,1999.0,0.02,44.73745025218801,28.74908226601621
21,376,1388.0,0.02,57.233119721108295,37.813822162912246
22,376,1832.0,0.02,58.8506232677622,38.29061369185752
23,376,1383.0,0.02,54.81209226364785,38.3000867113154
24,376,1278.0,0.02,53.74928033351898,37.75550385231667
25,376,2263.5,0.02,53.856222822311075,37.88691526778201
26,376,1705.5,0.02,80.54286181165817,46.89764781708413
27,376,2006.0,0.02,75.19967831449306,46.926014271188286
28,376,1669.5,0.02,71.1447625819673,46.761501078910015
29,376,1362.5,0.02,71.04316625189274,46.94734901062986
30,376,1423.5,0.02,67.56385370518299,46.73977027040847
31,376,2203.0,0.02,79.97439380402261,50.42936465080748
32,376,2036.0,0.02,85.1990188689942,51.018041955663804
33,376,1346.0,0.02,86.72870305243958,50.90841840175872
34,376,2181.5,0.02,84.18308699891922,50.752075864913614
35,376,2152.0,0.02,81.67464609856302,50.76410505619455
36,376,1966.5,0.02,94.5628592815805,56.68419971871883
37,376,2146.0,0.02,85.05914155980373,57.1254158933112
38,376,1907.5,0.02,97.1481753257995,57.10322850815793
39,376,1389.5,0.02,99.13400236596452,56.73009437195798
40,376,1963.5,0.02,103.07248360552687,56.576096453565235
41,376,1541.0,0.02,102.18803733460446,68.94996797277572
42,376,1740.5,0.02,92.76311513718139,68.64668131889181
43,376,1730.5,0.02,101.35423765791224,68.81635641544423
44,376,1026.5,0.02,95.81500230951512,68.22059330027155
45,376,1824.0,0.02,84.37342601126812,68.99292513664733
46,376,1253.0,0.02,123.0783867328725,80.6355903706652
47,376,1330.0,0.02,109.49252692182013,80.58495089348327
48,376,2228.0,0.02,102.05558740331772,80.05296595553135
49,376,2269.5,0.02,114.14255644412751,80.1540088450655
