episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,94.5,0.02,54.43129914733706,-6.188306837787614
1,376,410.5,0.02,58.98458489458611,-9.791053322401453
2,376,747.0,0.02,55.5451842470372,-9.91461027429459
3,376,501.0,0.02,65.86912448862766,-10.052107149140632
4,376,1297.5,0.02,50.0305594941403,-9.645971876509646
5,376,1696.0,0.02,56.04700876804108,-10.523757463439981
6,376,2080.5,0.02,48.29295102078864,-7.923572095150643
7,376,2458.5,0.02,44.571002407276886,-7.321040608781449
8,376,1832.5,0.02,44.14577229986799,-6.913956534355245
9,376,2276.5,0.02,42.8827354552898,-6.5819413401979086
10,376,2711.5,0.02,46.34171840485106,-6.323103567387196
11,376,1861.0,0.02,59.17274537492305,2.4217205482356725
12,376,2128.5,0.02,54.19239830970764,2.5779092910481576
13,376,2410.5,0.02,50.50231832646309,2.9205170867449426
14,376,2438.0,0.02,50.737197992649484,2.800926379443325
15,376,2590.5,0.02,45.87389948520254,3.2176333060042257
16,376,2143.5,0.02,61.446272667418135,10.615815687686839
17,376,2297.0,0.02,55.2392132130075,10.823049300528588
18,376,2914.0,0.02,51.37823982441679,11.092215605238652
19,376,2304.5,0.02,48.580369609467525,11.337357480475243
20,376,1449.0,0.02,51.76573684621364,10.843511171163396
21,376,2029.0,0.02,73.96756276171259,18.20402500477243
22,376,2359.0,0.02,68.21223401516042,18.657214821653163
23,376,2317.5,0.02,61.689214412202226,18.35637491560997
24,376,2224.5,0.02,59.18329459048332,18.354302796911686
25,376,1673.5,0.02,53.57981406881454,18.473503150838486
26,376,2504.0,0.02,75.06993902997768,24.455788196401393
27,376,2554.0,0.02,67.0752139142219,24.7152000640301
28,376,2437.5,0.02,65.03950312797059,24.68606662750244
29,376,1120.0,0.02,60.386852512968346,25.148380847687417
30,376,2301.0,0.02,60.30996930345576,25.170147327666587
31,376,2358.5,0.02,74.90920453883231,33.35961181559461
32,376,1894.0,0.02,65.93837450920267,33.36219577079124
33,376,2392.5,0.02,62.577201122933246,33.457571881882686
34,376,1759.0,0.02,59.98659039558248,33.60803813629962
35,376,2522.5,0.02,58.85765030028972,33.61670503717788
36,376,2326.0,0.02,88.89835322156866,40.49574850975199
37,376,1853.0,0.02,81.16140891136007,40.315441415665
38,376,2541.5,0.02,76.63202804200192,40.229898574504446
39,376,1456.5,0.02,75.89314006744547,40.374463969088616
40,376,2337.0,0.02,83.3723423683897,40.01393168023292
41,376,1932.5,0.02,99.47244330669972,46.89450578486666
42,376,1110.0,0.02,93.16590444077836,46.79982319283992
43,376,1792.0,0.02,90.60742960584925,46.37051564074577
44,376,2409.0,0.02,90.62431621551514,46.628269043374566
45,376,502.5,0.02,88.90761021350292,46.360734533756336
46,376,2937.5,0.02,116.94233556503946,46.692060024180314
47,376,1943.5,0.02,98.03820261042169,46.72278642654419
48,376,1787.0,0.02,102.93153648173555,46.742220036526945
49,376,1434.5,0.02,94.88037118505925,46.23788321271856
