episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2012.0,0.02,20.642427402009595,1.6527056337164256
1,376,1147.5,0.02,47.47273791089971,12.827609065999376
2,376,2305.0,0.02,46.24692546053136,12.452175117553548
3,376,1759.5,0.02,45.23936286378414,13.079000437513312
4,376,977.0,0.02,43.47957122325897,12.8628669748915
5,376,942.5,0.02,42.15801499752288,12.816108701076914
6,376,2215.0,0.02,60.780533536951594,19.758641598072458
7,376,1849.5,0.02,57.07524772907825,20.112376268873824
8,376,2195.5,0.02,55.74524043468719,20.16515644560469
9,376,1174.0,0.02,53.80774717635297,20.284933597483533
10,376,1586.0,0.02,52.97136822659919,20.221277023883577
11,376,1942.5,0.02,58.399324133041056,26.62929676441436
12,376,2093.0,0.02,57.307790568534365,26.861160247883898
13,376,1636.0,0.02,56.207453651631134,26.86737118376062
14,376,2174.5,0.02,56.330200043130425,26.93239665031433
15,376,2445.0,0.02,54.86330734922531,27.16057564349885
16,376,2228.0,0.02,72.61284706947652,33.038798956160846
17,376,1247.0,0.02,70.6371665761826,32.95738159849289
18,376,2794.0,0.02,66.79511915369237,33.0137713970022
19,376,2228.0,0.02,69.41452531104392,33.12957892012089
20,376,1726.5,0.02,66.35041741107372,32.97960930682243
21,376,1893.0,0.02,78.2081113521089,41.927918576179664
22,376,2192.5,0.02,80.04836935185372,42.14503521614886
23,376,2160.0,0.02,75.66914804438328,42.215681928269404
24,376,2191.5,0.02,73.90445704663054,41.875883051689634
25,376,1897.5,0.02,70.92716130297235,42.11931327048769
26,376,2037.0,0.02,83.79236400888321,49.898641890667854
27,376,2307.5,0.02,80.29784850364035,49.87795567005239
28,376,1729.5,0.02,81.74017362391695,50.162930062476626
29,376,2592.0,0.02,78.35882448642812,50.21050264480266
30,376,2231.0,0.02,75.72772608919347,50.11207099671059
31,376,2332.5,0.02,104.48396877532309,57.856473415455916
32,376,2023.0,0.02,101.34669440857907,57.73654201182913
33,376,2515.5,0.02,101.42693169066247,58.08994842082896
34,376,1889.5,0.02,97.90001014952963,58.267479734217865
35,376,1956.5,0.02,95.87943431164356,58.13164950431661
36,376,2650.5,0.02,103.95722319217438,64.65786373868902
37,376,1937.5,0.02,105.43790526085712,64.74615077769502
38,376,2273.0,0.02,104.92296826078537,65.11460090190806
39,376,2415.5,0.02,103.15535821305944,65.22893976657949
40,376,2360.0,0.02,99.03895765669803,64.94397564137236
41,376,1336.0,0.02,128.80444248686445,73.87489044919927
42,376,2126.5,0.02,125.90219762477469,74.2038754402323
43,376,1800.5,0.02,123.75853680549784,73.86427684540445
44,376,1361.5,0.02,123.34073693701562,73.8856028090132
45,376,964.0,0.02,118.7726300625091,73.69879134157871
46,376,2204.5,0.02,150.49368614846088,79.58105450488151
47,376,2224.5,0.02,145.1302743262433,79.70559879059488
48,376,2291.0,0.02,139.50467439407998,79.63507757795618
49,376,2015.0,0.02,137.4584846192218,79.82710448731767
