episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2161.5,0.02,26.38417060580381,1.8799080123941108
1,376,1724.0,0.02,64.00818333219975,11.688238906099441
2,376,2242.5,0.02,63.245591539017695,11.375405444743786
3,376,1824.0,0.02,68.05250065377417,11.860484400962262
4,376,1420.5,0.02,62.831791608891585,11.726715172858949
5,376,1361.5,0.02,62.12051852205966,11.617705223408151
6,376,2495.5,0.02,78.89108129765125,20.619749449669047
7,376,1953.5,0.02,75.72674187193526,21.109668315725123
8,376,2208.0,0.02,73.63136086565383,21.08615086687372
9,376,1216.0,0.02,70.7033922012816,21.13029100032563
10,376,1472.5,0.02,71.37372522151216,21.014004765672887
11,376,1871.5,0.02,103.34872668854733,27.484410985987235
12,376,1692.0,0.02,100.79353142799215,27.52818749813323
13,376,1334.5,0.02,98.53206537124959,27.625324670304643
14,376,2058.5,0.02,96.5026166388329,27.58326851053441
15,376,2308.0,0.02,96.80872812676937,27.733643120907722
16,376,2214.0,0.02,122.31013662257094,34.08950028013676
17,376,1250.5,0.02,120.69743021498336,33.962125833998336
18,376,2781.5,0.02,117.39208179839115,34.06342223350038
19,376,2153.5,0.02,116.96832915569874,34.15817792872165
20,376,1589.5,0.02,115.27287820044984,33.99301058180789
21,376,1445.0,0.02,141.97362286993797,42.008998708522064
22,376,2252.0,0.02,141.90577339618764,42.26279625994094
23,376,1909.0,0.02,144.39674303379465,42.29623723537364
24,376,2089.5,0.02,137.78642530644194,41.85415719417816
25,376,2101.0,0.02,135.0105544049689,42.03319350709307
26,376,1943.0,0.02,155.62718053574258,48.8305014447963
27,376,2274.5,0.02,155.462696237767,48.86737556660429
28,376,1459.5,0.02,153.18712112751413,49.008397589338585
29,376,2476.5,0.02,146.9622179498064,49.0565808174458
30,376,2228.5,0.02,147.83100165712074,48.89079908614463
31,376,1837.0,0.02,172.88668098855527,56.39471407139555
32,376,2256.5,0.02,171.9735160989964,56.01243663341441
33,376,2304.5,0.02,172.25224695814416,56.51386518681303
34,376,2190.0,0.02,167.554166164804,56.6198473889777
35,376,2423.5,0.02,164.5927831771526,56.4871506690979
36,376,2711.0,0.02,185.00050009057878,62.71733360087618
37,376,1526.5,0.02,185.77741342909792,62.872277878700416
38,376,2101.5,0.02,184.22997164218984,63.113087491786224
39,376,2062.5,0.02,180.89620829643087,63.101941392776816
40,376,2013.0,0.02,179.941203513044,62.7613589002731
41,376,1492.5,0.02,203.80861061177356,69.92773087481235
42,376,1993.0,0.02,203.96755198214916,70.11190177024679
43,376,1805.0,0.02,199.38540986243714,69.9384716926737
44,376,1314.5,0.02,204.9408838190931,70.16274338580192
45,376,1208.0,0.02,199.8118433445058,69.77071746866754
46,376,2115.0,0.02,239.4506905941253,78.48754890928878
47,376,2216.5,0.02,234.53970864478578,78.46298311111775
48,376,2213.0,0.02,225.74104842733828,78.57505181495179
49,376,2106.0,0.02,223.43832344704487,78.68886383543624
