episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,1225.5,0.02,18.363440299953833,1.5502883573193988
1,376,1372.0,0.02,29.676015448062977,8.675499798769646
2,376,1369.5,0.02,29.117420341106172,9.015249921920452
3,376,1454.5,0.02,28.587490966979495,9.200652963303504
4,376,981.0,0.02,28.112028162530127,9.144535238438465
5,376,1365.5,0.02,27.94160982649377,9.274330808761272
6,376,1458.5,0.02,40.22477546651313,16.511389950488475
7,376,1457.5,0.02,38.25667000577805,16.599808292186008
8,376,1546.0,0.02,37.47846764452914,16.644908981120334
9,376,1120.5,0.02,36.51518843782709,16.771606047102747
10,376,1582.5,0.02,36.61901318266037,16.88184325999402
11,376,1186.0,0.02,47.770934657847626,20.38848229164773
12,376,1246.0,0.02,45.33287317194837,20.332206609401297
13,376,1287.0,0.02,42.328155852378686,20.39427971586268
14,376,1309.0,0.02,41.01845578437156,20.466010129198114
15,376,1709.0,0.02,40.44278728708308,20.551731025919
16,376,1445.0,0.02,48.79269122570119,25.384135839786936
17,376,1308.5,0.02,45.039772718510726,25.129868887840434
18,376,2258.5,0.02,44.6016905764316,25.262781924389778
19,376,1497.0,0.02,44.728810087163396,25.40221801209957
20,376,1716.0,0.02,42.7532281824883,25.33420270554563
21,376,1107.0,0.02,57.46162959362598,31.014636907171695
22,376,1376.0,0.02,54.624750015583444,31.204755321462105
23,376,1444.5,0.02,53.53756759521809,31.212289313052562
24,376,1473.0,0.02,50.14919613777323,30.679150119740914
25,376,1227.5,0.02,48.67318071203029,30.964595855550563
26,376,1932.5,0.02,65.70768170661114,36.530261308588884
27,376,1408.5,0.02,62.932104288263524,36.879845959074956
28,376,1344.0,0.02,63.220458395937655,36.978212848622746
29,376,1508.0,0.02,61.731497972569564,36.75405472390195
30,376,1466.5,0.02,59.987787241631366,36.87579757101992
31,376,1831.0,0.02,78.65779894463559,44.01401938783361
32,376,1122.0,0.02,74.77212479773988,43.471730739512346
33,376,2253.5,0.02,72.79243427641849,43.84819905301358
34,376,1009.0,0.02,72.3460262988476,44.04348076150772
35,376,1729.0,0.02,69.79724322988632,43.771476887642066
36,376,1729.0,0.02,85.75060886017819,47.132731042009716
37,376,1030.0,0.02,83.54851077465301,47.07192246457364
38,376,1390.0,0.02,82.59984796097937,47.163347995027586
39,376,1500.0,0.02,82.97515204104971,47.203528181035466
40,376,1421.5,0.02,78.52365851909556,47.02711545660141
41,376,1132.5,0.02,109.1862437268521,50.86315358953273
42,376,1231.5,0.02,100.49952592241003,50.89894737081325
43,376,1585.0,0.02,101.95180857435186,50.7179153016273
44,376,1307.0,0.02,102.28967108625046,50.790222401314594
45,376,921.0,0.02,102.54237073533078,50.75590096128748
46,376,1754.0,0.02,122.30333343465277,54.707874237222875
47,376,1479.0,0.02,118.18841976815082,54.75101985322668
48,376,1444.5,0.02,114.53716751869689,54.74953352136815
49,376,1252.5,0.02,110.72205592216329,54.94187434176181
