episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,1526.5,0.02,24.069683919674564,1.7635182224204404
1,376,1792.0,0.02,44.78435976454552,10.084847284758345
2,376,1775.0,0.02,44.07651902259664,10.534244499307997
3,376,1783.5,0.02,44.28263043850026,10.79748833559929
4,376,1569.5,0.02,42.56417870014272,10.79831007313221
5,376,1476.0,0.02,44.37741802093831,10.805096448735988
6,376,1928.0,0.02,63.05833838848358,18.85177225762225
7,376,1411.5,0.02,59.00166105209513,19.17905647450305
8,376,1742.0,0.02,56.24552275272126,18.805576545126893
9,376,1630.0,0.02,54.67876422151606,19.094529669335547
10,376,1832.5,0.02,54.98779762044866,19.152289628982544
11,376,1403.5,0.02,72.70689632537517,23.856059500511655
12,376,907.5,0.02,69.89591977951375,23.5628534885163
13,376,1155.0,0.02,66.78709890487346,23.594199555985472
14,376,1872.5,0.02,65.40207727919234,23.66165230629292
15,376,1644.5,0.02,67.85596577664639,23.787646298712872
16,376,2258.0,0.02,78.49148478913814,29.534602337695183
17,376,1099.0,0.02,76.5111022502818,29.290399749228296
18,376,2736.0,0.02,77.42684261849585,29.382122572432174
19,376,1895.0,0.02,75.34128566498453,29.52588289342028
20,376,1692.0,0.02,76.07602114373066,29.422753729718796
21,376,988.5,0.02,98.30053818479497,36.14786838977895
22,376,2096.0,0.02,93.22448177540556,36.42737403829047
23,376,1863.0,0.02,95.00440034460514,36.45628787101583
24,376,2103.0,0.02,93.62703608452006,35.87980303865798
25,376,1381.0,0.02,92.43235915265184,36.32801203524813
26,376,1920.0,0.02,106.31286092514688,41.89739926317905
27,376,2210.5,0.02,104.03829388922833,42.06483968775323
28,376,1622.0,0.02,101.43396638302093,42.387906967325414
29,376,2512.5,0.02,95.57206695637804,42.06659865886607
30,376,2421.5,0.02,97.55953097850718,42.28039556868533
31,376,1689.5,0.02,128.6382773074698,49.3784239038508
32,376,1477.0,0.02,124.50372698966493,48.71447807677249
33,376,1658.5,0.02,119.71877776815536,49.283718717859145
34,376,1510.0,0.02,115.21231734499018,49.43180205974173
35,376,2309.0,0.02,113.73376653549519,49.05971675223493
36,376,1894.0,0.02,131.3071481319184,53.41995242301454
37,376,874.0,0.02,133.7275850519221,53.57580461907894
38,376,2308.5,0.02,134.8206660595346,53.61589688443123
39,376,2124.5,0.02,128.60598185721864,53.669865466178734
40,376,1504.0,0.02,129.38244335702126,53.65880716607926
41,376,1486.5,0.02,144.1252454595363,58.707693840595
42,376,2129.5,0.02,135.20808131644065,59.020564170593914
43,376,1930.0,0.02,132.16317586695894,58.8903875046588
44,376,1062.0,0.02,136.33085133167023,58.90811294190427
45,376,1047.0,0.02,142.583946887483,58.6979802415726
46,376,1698.5,0.02,152.48552197598397,65.08286612084571
47,376,2609.5,0.02,153.70705481793019,65.37584476268037
48,376,2084.5,0.02,143.207307906861,65.54567527770996
49,376,2303.5,0.02,142.32342242180033,65.42409563064575
