episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2151.5,0.02,21.215701986137415,1.366998454761064
1,376,186.0,0.02,41.71207823651902,13.876545312556814
2,376,2200.5,0.02,50.20333995464,12.545032143592834
3,376,2205.0,0.02,47.13150816775383,13.563895253424949
4,376,2109.5,0.02,47.57787199223295,13.86252226981711
5,376,2334.5,0.02,45.703994263993934,14.371279249800013
6,376,1838.0,0.02,47.71447326781902,23.611518418535272
7,376,2121.5,0.02,47.012303316846804,23.753725559153455
8,376,1329.0,0.02,44.09484180744658,23.80208110809326
9,376,2134.5,0.02,43.33848589024645,23.839282974283744
10,376,1482.5,0.02,42.82256002629057,23.871789587304946
11,376,2454.5,0.02,48.88145171327794,33.21967343066601
12,376,2225.0,0.02,45.07462022659627,33.34088654721037
13,376,2044.0,0.02,43.139889468538,33.54911281707439
14,376,1577.0,0.02,42.43705347497413,33.46992604783241
15,376,2077.5,0.02,41.981298007863636,33.63068054077473
16,376,2228.0,0.02,49.308346804152144,42.56824375720734
17,376,1107.5,0.02,45.33125159841903,42.59612182860679
18,376,2101.5,0.02,44.4901579618454,42.37600596407626
19,376,664.5,0.02,43.99380588785131,42.40821837364359
20,376,1999.0,0.02,43.816890539006984,42.21950268238149
21,376,1388.0,0.02,53.20694208652415,50.70637569021672
22,376,1832.0,0.02,54.10782352406928,50.93204886862572
23,376,1383.0,0.02,51.28267825664358,51.014812794137505
24,376,1278.0,0.02,51.151218835343705,50.50363036419483
25,376,2263.5,0.02,49.35760233757344,50.70222682141243
26,376,1710.0,0.02,63.66312019368436,60.022257439633634
27,376,2068.0,0.02,58.290996774714046,60.07180400604897
28,376,1659.0,0.02,58.542334886307415,60.33874724773651
29,376,1593.5,0.02,55.2528738569706,60.511539022973245
30,376,1356.5,0.02,54.372249364852905,60.19092068773635
31,376,2208.5,0.02,70.04878447410908,65.55316208778544
32,376,2031.0,0.02,66.51911284568462,65.64503480018453
33,376,1383.0,0.02,67.99640335427954,65.93878068315222
34,376,2255.0,0.02,65.18182153904692,65.82237406994435
35,376,2178.5,0.02,64.91968413109475,65.54861644988364
36,376,2055.5,0.02,78.48271735678328,73.56233593758117
37,376,2390.5,0.02,74.17873173064373,73.87633199894682
38,376,1979.5,0.02,74.01685899876534,73.8685048285951
39,376,2529.5,0.02,76.2055150042189,73.99367224916499
40,376,2213.5,0.02,73.53646595427331,73.72088791461701
41,376,2146.5,0.02,91.66860406956773,84.12079967336452
42,376,1823.0,0.02,87.59633954027866,84.1339630167535
43,376,1792.0,0.02,86.93694057870418,84.01850300646842
44,376,1166.0,0.02,86.26070523769297,83.69021661230859
45,376,2040.0,0.02,84.48547782796494,84.12217203099677
46,376,1260.0,0.02,99.88764039506303,89.78607185850753
47,376,1514.5,0.02,95.96905830058645,89.8980374234788
48,376,2203.0,0.02,91.83452692944952,89.7996939192427
49,376,2234.5,0.02,88.45321545702346,90.08998343285094
