episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2151.5,0.02,21.07122791131809,1.3486187660986162
1,376,186.0,0.02,42.41489608744357,14.123426741742072
2,376,2200.5,0.02,50.45004375944746,12.778295945613943
3,376,2205.0,0.02,47.73487474056,13.792232647855231
4,376,2109.5,0.02,48.2522690778083,14.07996895465445
5,376,2334.5,0.02,46.481627829531405,14.622236218858273
6,376,1838.0,0.02,48.23642542768032,23.716268288328294
7,376,2121.5,0.02,48.39877049466397,23.858737940483906
8,376,1329.0,0.02,45.72918041208957,23.89257368635624
9,376,2134.5,0.02,45.573637087294394,23.936591412158723
10,376,1482.5,0.02,45.01306860751294,23.970481263830308
11,376,2454.5,0.02,50.17190957069397,33.24101240584191
12,376,2225.0,0.02,47.50192982592481,33.364390555848466
13,376,2044.0,0.02,46.04888948481133,33.588295647438535
14,376,1577.0,0.02,45.78600237724629,33.497141249636385
15,376,2077.5,0.02,45.36195536116336,33.65172354718472
16,376,2228.0,0.02,49.822325427481466,42.42392860574925
17,376,1107.5,0.02,46.61987024672488,42.47545698855786
18,376,2101.5,0.02,46.108765150638334,42.22802582192928
19,376,664.5,0.02,46.567741992625784,42.3023576432086
20,376,1999.0,0.02,46.75918793678284,42.08566340994328
21,376,1388.0,0.02,57.24240834154981,50.96804469697019
22,376,1832.0,0.02,57.52883121815134,51.15338189551171
23,376,1383.0,0.02,54.831142034936455,51.24050791720126
24,376,1278.0,0.02,54.770515091875765,50.736583831462454
25,376,2263.5,0.02,54.571640719758705,50.93441818115559
26,376,1710.0,0.02,66.45303413715769,60.55783540644544
27,376,2068.0,0.02,61.11689909975579,60.62867856532969
28,376,1659.0,0.02,63.79981526922673,60.807917716655325
29,376,1593.5,0.02,59.64762143378562,61.01055188889199
30,376,1356.5,0.02,58.103254526219466,60.69579960437531
31,376,2203.0,0.02,72.4613346495527,67.41746177064611
32,376,2039.5,0.02,71.99409375799463,67.49318704199284
33,376,1372.0,0.02,73.10053671674525,67.7949536404711
34,376,2255.0,0.02,73.36202545876199,67.65800203161037
35,376,2178.5,0.02,70.59611940383911,67.49065970359965
36,376,2059.5,0.02,81.58953171588004,74.47240089862905
37,376,2409.0,0.02,80.82094827611395,74.748792445406
38,376,2018.5,0.02,80.85665574986884,74.70639291722723
39,376,2568.5,0.02,83.43680224012822,74.78049201153695
40,376,2227.5,0.02,82.95042976419977,74.62203376851183
41,376,2183.5,0.02,101.13750833146115,83.3048493405606
42,376,1807.0,0.02,99.4950108933956,83.43414389833491
43,376,1755.0,0.02,97.34913415097176,83.14664463286704
44,376,1145.0,0.02,95.9633300760959,82.91804051906504
45,376,2054.5,0.02,95.70576212253977,83.21803922856108
46,376,1260.0,0.02,123.40582292637926,91.30297910406235
47,376,1543.5,0.02,120.48136880549978,91.34170410480905
48,376,2238.0,0.02,111.15083695472555,91.24320385303903
49,376,2278.5,0.02,109.89068808454148,91.52623495142511
