episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2151.5,0.02,21.39213457588626,1.3478140885290864
1,376,186.0,0.02,41.461336840974525,13.92189159291856
2,376,2200.5,0.02,50.430068087070545,12.590988722253353
3,376,2205.0,0.02,46.88020276516042,13.592649619630043
4,376,2109.5,0.02,47.34044071207655,13.900623291096789
5,376,2334.5,0.02,45.53996606076017,14.407822522711246
6,376,1838.0,0.02,47.24588930353205,23.775374524136808
7,376,2121.5,0.02,46.85730873270238,23.902595662056132
8,376,1329.0,0.02,44.022343298222154,23.93980377785703
9,376,2134.5,0.02,43.48897266134303,23.984079223998048
10,376,1482.5,0.02,43.121754910083524,24.017564403249864
11,376,2454.5,0.02,48.753811151423356,33.32370039249988
12,376,2225.0,0.02,45.693537220041804,33.44502007200363
13,376,2044.0,0.02,43.9396918834524,33.66698806336586
14,376,1577.0,0.02,43.50976073488276,33.57021322656185
15,376,2077.5,0.02,43.393465133423504,33.71158510066093
16,376,2228.0,0.02,48.80497436827802,42.945856398724494
17,376,1107.5,0.02,45.695791898889745,43.00201826907219
18,376,2101.5,0.02,45.228575706481934,42.7486850150088
19,376,664.5,0.02,45.283718933450416,42.82344140397741
20,376,1999.0,0.02,45.40483417409531,42.61758942299701
21,376,1388.0,0.02,54.78253142377164,51.029988633825425
22,376,1832.0,0.02,55.020229857018656,51.209769877981635
23,376,1383.0,0.02,52.496058174904356,51.30813369345158
24,376,1278.0,0.02,52.39058564064351,50.81278857778996
25,376,2263.5,0.02,51.55991815506144,51.015051233007554
26,376,1710.0,0.02,64.85453544271753,60.61574456032286
27,376,2068.0,0.02,58.882540464401245,60.69983306844184
28,376,1659.0,0.02,60.991896045968886,60.853964907057744
29,376,1593.5,0.02,56.668730918397294,61.093535940697855
30,376,1356.5,0.02,54.7507921431927,60.74088633314092
31,376,2203.0,0.02,68.73712805484203,67.49149521361007
32,376,2039.5,0.02,67.21972439136911,67.51534867793956
33,376,1372.0,0.02,67.64887295378016,67.88198000319461
34,376,2255.0,0.02,67.98260452899527,67.7085201182264
35,376,2178.5,0.02,65.07920280923234,67.57100024121873
36,376,2059.5,0.02,79.8260053472316,75.18246290531565
37,376,2409.0,0.02,75.3281864257569,75.4873598788647
38,376,2018.5,0.02,74.91328083200658,75.45764515247751
39,376,2568.5,0.02,77.2214157530602,75.59007356521931
40,376,2227.5,0.02,75.08008592686754,75.3492999178298
41,376,2189.0,0.02,92.18566665243596,85.31536869292563
42,376,1812.5,0.02,87.5119026163791,85.35096306496479
43,376,1760.5,0.02,87.13910048058692,85.07459705433946
44,376,1150.5,0.02,86.79438343453914,84.84464594658385
45,376,2060.0,0.02,83.20507875401923,85.2172811386433
46,376,1286.5,0.02,106.03490491623575,90.04869980507709
47,376,1536.0,0.02,102.72313718592866,90.14030756848923
48,376,2224.0,0.02,94.20665706472194,90.04936173621644
49,376,2264.5,0.02,95.16453128165386,90.41428442204253
