episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2051.0,0.02,21.19218842707331,1.666319892542763
1,376,1167.0,0.02,46.30606044353323,12.74037784211179
2,376,2344.0,0.02,45.75297419061052,12.441048028621267
3,376,1758.5,0.02,46.01161293273277,13.131961406545436
4,376,1090.0,0.02,44.520673282603,12.902367607076117
5,376,1069.0,0.02,42.553305519388076,12.954325850973738
6,376,2271.0,0.02,48.54274323646059,19.94817982328699
7,376,2138.0,0.02,47.40326699804753,20.272029749890592
8,376,2259.5,0.02,47.017474250590546,20.397471491326677
9,376,309.0,0.02,45.79185716142046,20.46701360256114
10,376,1966.0,0.02,48.779995385636674,20.28573073732092
11,376,1945.0,0.02,53.6274341928198,27.209791467544882
12,376,2115.5,0.02,52.27643175835305,27.425649166107178
13,376,1655.5,0.02,50.85674717071208,27.500267180990665
14,376,2193.0,0.02,50.953424709908504,27.5434985921738
15,376,2488.5,0.02,50.79605622748111,27.724377180667634
16,376,2220.0,0.02,58.4694636933347,33.89356364595129
17,376,1261.0,0.02,56.63139100784951,33.844627902862875
18,376,2877.0,0.02,56.33956231969468,33.88595941726198
19,376,2286.5,0.02,56.434542904508874,34.03530350644538
20,376,1785.0,0.02,54.837474635306826,33.87041169531802
21,376,1876.5,0.02,69.70845908307015,41.56368954638217
22,376,2170.5,0.02,68.24944692469657,41.821044718965574
23,376,2199.0,0.02,66.00273712645186,41.8291724590545
24,376,2184.0,0.02,64.92010260642843,41.59185502884236
25,376,1906.0,0.02,64.13791468295645,41.7894598778258
26,376,2100.5,0.02,79.33409728395178,49.42363809017425
27,376,2291.0,0.02,76.78524572291273,49.45310753964363
28,376,1777.5,0.02,78.42189818747501,49.73286331460831
29,376,2550.5,0.02,76.08719493987712,49.737141943992455
30,376,2293.5,0.02,73.52354553912548,49.64929651706777
31,376,2356.5,0.02,86.51601372373865,57.48189991078478
32,376,2008.0,0.02,86.24054250818618,57.35678325815404
33,376,2479.5,0.02,85.76741857731596,57.706048448035055
34,376,1849.0,0.02,84.0530781796638,57.847711015254895
35,376,2021.0,0.02,81.7293114611443,57.71392587905235
36,376,2634.0,0.02,98.10160061653625,65.72184316148149
37,376,1901.5,0.02,100.71341932580826,65.83138265001013
38,376,2247.5,0.02,101.88905210190632,66.1022070722377
39,376,2379.5,0.02,101.63683459099303,66.18258329147989
40,376,2324.0,0.02,98.67025417977192,65.89881916249053
41,376,1396.0,0.02,130.60883038094704,74.18289158192087
42,376,2065.5,0.02,128.182265190368,74.47594857723155
43,376,1829.5,0.02,127.46144943034395,74.1604124028632
44,376,1415.5,0.02,128.4300647897923,74.12027616703764
45,376,959.0,0.02,124.64698952816903,73.94184368214708
46,376,2223.0,0.02,143.43794756747306,79.12810526502894
47,376,2267.5,0.02,138.71014106020013,79.15353608638682
48,376,2239.5,0.02,132.97595305138447,79.10699795662089
49,376,1719.0,0.02,131.95423268257304,79.34986360022363
