episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2031.5,0.02,20.96296350326312,1.6608146649836466
1,376,1167.0,0.02,46.88243924049621,13.24123453713478
2,376,2344.0,0.02,46.20460747150665,12.979493762584443
3,376,1758.5,0.02,45.53190137477631,13.689379108713029
4,376,1090.0,0.02,44.98482556545988,13.397124949921952
5,376,1069.0,0.02,42.77299207322141,13.426195268935345
6,376,2271.0,0.02,48.58265866624548,20.468621959077552
7,376,2203.0,0.02,47.42092447585248,20.809212425921825
8,376,2324.5,0.02,47.06824446231761,20.961207384758808
9,376,309.0,0.02,46.155152381734645,21.058957723861045
10,376,1966.0,0.02,49.50239373267965,20.88975713100839
11,376,1945.0,0.02,56.980529800374455,28.216527345332693
12,376,2135.5,0.02,55.78396128086334,28.432926959179817
13,376,1655.5,0.02,54.07359374837672,28.520124826025455
14,376,2093.0,0.02,53.67453434112224,28.547966967237755
15,376,2494.0,0.02,54.04980307183367,28.671486758171245
16,376,2290.5,0.02,61.88963416282167,34.429502578491864
17,376,1261.0,0.02,60.938587077120516,34.37961633154686
18,376,2867.5,0.02,59.90669523908737,34.4448707357366
19,376,2351.5,0.02,59.99972418521313,34.60964761389063
20,376,1700.0,0.02,58.47060216741359,34.40784083021448
21,376,1856.5,0.02,73.64032943705296,42.354091471814094
22,376,2145.0,0.02,71.9169665143845,42.59090956221235
23,376,2199.0,0.02,68.99871039390564,42.65375890123083
24,376,2068.5,0.02,67.91561247947368,42.391296985301565
25,376,1886.0,0.02,66.66395236076193,42.519414688678495
26,376,2105.5,0.02,79.96965458038005,51.12482337748751
27,376,2225.5,0.02,75.53242501299432,51.19670698490549
28,376,1537.5,0.02,77.33979721272246,51.41348257470638
29,376,2440.5,0.02,74.18063291590265,51.44313151785668
30,376,2303.5,0.02,70.95599630538453,51.31458547267508
31,376,1806.0,0.02,81.68875957042613,58.8194578657759
32,376,1997.0,0.02,79.42196267716427,58.65971845261594
33,376,2379.5,0.02,79.46168498282736,59.04829525440297
34,376,2209.0,0.02,76.0318051601978,59.19518885713943
35,376,2030.5,0.02,73.73389150233979,59.07210775131875
36,376,2339.0,0.02,93.26412893863434,68.17896814549223
37,376,1886.0,0.02,90.25355473985063,68.29598611466427
38,376,2262.0,0.02,88.22341469500927,68.47534347087779
39,376,2294.0,0.02,88.52495000717488,68.6622579554294
40,376,2343.5,0.02,83.50402582452652,68.41262609400648
41,376,1344.5,0.02,111.75329777534972,75.96570483674394
42,376,2090.5,0.02,101.69236889291317,76.36166921575018
43,376,1764.5,0.02,102.24103420338731,76.06102667463587
44,376,1385.5,0.02,100.7965046294192,76.04169326132916
45,376,939.0,0.02,96.95166537102233,75.86524498716314
46,376,2192.0,0.02,114.39024706089751,81.07454306014041
47,376,2240.0,0.02,108.51647165988354,81.09346436439677
48,376,2232.5,0.02,106.2043461292348,81.01112118173153
49,376,1706.0,0.02,102.61530249169532,81.14528860944382
