episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2181.0,0.02,26.82688584455043,1.8814361811434512
1,376,1807.0,0.02,65.44344613399912,12.039376890405695
2,376,2274.0,0.02,64.41009610764523,11.806682746461098
3,376,1868.5,0.02,68.88692396752377,12.204769362794591
4,376,1568.0,0.02,65.33211678646981,12.02574171664867
5,376,1194.5,0.02,62.82406325035907,12.121277327233173
6,376,2349.5,0.02,78.40101467294896,20.694914072117907
7,376,2169.5,0.02,73.86062452133666,20.989583905707015
8,376,2176.0,0.02,69.9712163539643,20.95330714418533
9,376,867.5,0.02,69.29120649682714,20.99080413960396
10,376,1397.5,0.02,72.33233417855932,20.87045816665
11,376,1715.0,0.02,95.37621342882197,27.869370724292512
12,376,1705.5,0.02,91.78108829133053,27.884230938363583
13,376,1102.5,0.02,89.15804176127656,27.944187798398605
14,376,2074.5,0.02,88.79654376050259,27.966365824354455
15,376,2373.5,0.02,89.02719215636557,28.196097942108803
16,376,2174.5,0.02,109.92247505390898,34.23645496875682
17,376,1090.5,0.02,107.16130703053575,34.0602153818658
18,376,2701.0,0.02,103.15701341629028,34.18799915212266
19,376,2129.5,0.02,104.71665568047382,34.30084739340113
20,376,1639.5,0.02,100.87426489972054,34.15665482967458
21,376,1652.0,0.02,131.16379158547585,41.906524034256634
22,376,2052.5,0.02,130.80771323975097,42.17604992237497
23,376,1894.5,0.02,129.6300563406437,42.354285402500885
24,376,2148.5,0.02,121.02762304468358,41.79430211858546
25,376,2014.0,0.02,120.96159247134594,42.01251301866897
26,376,1911.0,0.02,148.9382952121978,49.93401403630033
27,376,2336.0,0.02,146.72706167748635,49.974107478527316
28,376,1459.5,0.02,140.85316595118096,50.35431267352814
29,376,2291.0,0.02,137.62695758900745,50.10264344925576
30,376,2381.0,0.02,136.85038969364572,50.02056626056103
31,376,1724.5,0.02,186.66100802320116,58.35713530601339
32,376,2221.5,0.02,188.53324821147513,57.89781388830632
33,376,2459.5,0.02,184.9531663732326,58.595162482971844
34,376,2170.0,0.02,177.37568936449415,58.73922231349539
35,376,2490.5,0.02,180.06637307430836,58.332842634079306
36,376,2554.0,0.02,205.07259703697042,65.69276296331527
37,376,1553.5,0.02,202.7442162087623,66.05675212373124
38,376,2300.5,0.02,200.2994633126766,66.11141539634542
39,376,1989.0,0.02,197.86593593435086,66.38940012708623
40,376,2293.5,0.02,194.2598017225874,66.00587792092182
41,376,1469.0,0.02,196.24055060934512,71.2164864235736
42,376,2115.5,0.02,185.9506614563313,71.60788508679005
43,376,1779.5,0.02,188.49892098852928,71.30582560884191
44,376,1079.5,0.02,189.3232089306446,71.29938445192703
45,376,1074.0,0.02,193.22319316864014,71.11102533340454
46,376,2189.5,0.02,224.05755665961732,76.97265505283437
47,376,2350.5,0.02,211.9017513051946,77.02019267386578
48,376,2279.5,0.02,207.71680405799378,77.13875066473129
49,376,2309.5,0.02,196.8405543591114,77.06358994828894
