episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2012.0,0.02,20.548864216054582,1.6340711722399166
1,376,1148.5,0.02,46.033163045315035,11.86428431247143
2,376,1560.0,0.02,43.875424400289006,11.466780611809265
3,376,1795.0,0.02,39.66477224167357,11.42319650218842
4,376,1076.5,0.02,38.48206882781171,11.417144372108135
5,376,1455.5,0.02,36.84873253741163,11.506887981232177
6,376,2229.5,0.02,47.70118098816973,18.77522884277587
7,376,2065.0,0.02,46.6925348576079,19.096292394272826
8,376,2181.0,0.02,46.2900453526923,19.289343420495378
9,376,595.0,0.02,45.20606940350634,19.37813224691026
10,376,1927.0,0.02,44.79886711911952,19.25047454935439
11,376,1287.0,0.02,53.43442132625174,25.364348015886673
12,376,2079.0,0.02,49.199526634622124,25.45431596167544
13,376,1606.0,0.02,47.84965995017519,25.562093207176694
14,376,2015.0,0.02,46.82954667984171,25.6115244855272
15,376,2410.0,0.02,46.22382090446797,25.800417971103748
16,376,2247.5,0.02,58.74246873754136,32.25488102182429
17,376,1243.0,0.02,56.91012389609154,32.21981206346065
18,376,2785.0,0.02,53.37198975745668,32.32054721040929
19,376,2308.5,0.02,55.33524462517271,32.46960368054978
20,376,1696.5,0.02,53.40547572298253,32.3934816045964
21,376,1898.5,0.02,67.47345075708755,39.31427075000519
22,376,2226.0,0.02,67.2668471082728,39.57383314092109
23,376,2254.5,0.02,62.769407997740075,39.64194439827128
24,376,2220.0,0.02,62.523990965904076,39.39471848467563
25,376,1836.5,0.02,59.98821415799729,39.59408013364102
26,376,2036.0,0.02,78.09501392790612,46.95582600857349
27,376,2346.5,0.02,73.78311380934208,47.03164644444242
28,376,1719.0,0.02,72.99948950016753,47.285481402214536
29,376,2611.5,0.02,69.90928492647537,47.40210136454156
30,376,2270.0,0.02,67.84385636004995,47.3388372279228
31,376,2342.0,0.02,91.7332286023079,54.995002563963546
32,376,2032.5,0.02,87.73466637794007,54.792138272143426
33,376,2515.5,0.02,86.33597392224252,55.10635522071352
34,376,1861.0,0.02,85.45697595718059,55.28122451457571
35,376,1956.5,0.02,80.16955284869417,55.11282418636566
36,376,2650.5,0.02,97.96350257447425,63.338585254993845
37,376,1898.5,0.02,91.63121974214594,63.47803516590849
38,376,2273.0,0.02,92.76993657172994,63.74429713918808
39,376,2435.0,0.02,88.70260467935115,63.95128133449148
40,376,2399.0,0.02,86.00086178170874,63.72723748836111
41,376,1346.5,0.02,124.46478734117873,70.68582474931758
42,376,2107.0,0.02,112.56123698011358,70.92912361469675
43,376,1800.5,0.02,113.44211324732355,70.67499314977768
44,376,1372.0,0.02,108.94631016508062,70.69694887323583
45,376,969.5,0.02,103.82104709300589,70.48490733288705
46,376,2183.5,0.02,135.46130764738044,74.24815025735408
47,376,2219.0,0.02,121.53386854618154,74.39510974478215
48,376,2316.0,0.02,115.81729507446289,74.4110853722755
49,376,1725.0,0.02,114.65594116170355,74.39433272341465
