episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2142.0,0.02,26.06684328894233,1.8545460057906387
1,376,1768.5,0.02,65.03191497985352,11.851333207272468
2,376,2240.5,0.02,63.7184875417263,11.750104615028869
3,376,2206.5,0.02,66.91033810757577,12.24392450363078
4,376,1485.0,0.02,61.13932417808695,12.315409594393792
5,376,1170.5,0.02,60.49378383413274,12.33757441094581
6,376,2546.5,0.02,80.15359714183401,20.939079457140984
7,376,1963.5,0.02,75.32875367428394,21.356888796420808
8,376,2221.5,0.02,72.62945195461842,21.308474391064745
9,376,1198.5,0.02,71.05342740200936,21.277436439027177
10,376,1449.5,0.02,71.67115431643546,21.245295595615467
11,376,1674.5,0.02,96.1349122879353,27.797839164733887
12,376,1587.5,0.02,91.88734081958202,27.86573864044027
13,376,1310.5,0.02,89.1113560554829,27.83566301426989
14,376,2073.5,0.02,87.5524611980357,27.829152482621215
15,376,2431.5,0.02,87.75150558796335,28.09564545814027
16,376,2179.5,0.02,106.95569183471355,34.802331817911025
17,376,1237.5,0.02,105.1712634411264,34.6514380130362
18,376,2752.5,0.02,100.20923110272022,34.75730312124212
19,376,2177.0,0.02,100.90741963082172,34.92720662279332
20,376,1496.5,0.02,97.77595257251821,34.74304987014608
21,376,1620.0,0.02,129.95271535629922,43.10372187228913
22,376,2200.5,0.02,130.97889713530844,43.335499175051424
23,376,1692.0,0.02,127.95696288981337,43.36973229874956
24,376,2203.0,0.02,123.04645659061188,43.036643484805495
25,376,1684.5,0.02,123.75782735297021,43.17974478133181
26,376,1912.5,0.02,143.0982128407093,50.53130664216711
27,376,2235.0,0.02,138.82424944005115,50.513125987763104
28,376,1491.0,0.02,138.3173124536555,50.71151947467885
29,376,2285.5,0.02,132.60947596773187,50.587995529174805
30,376,2341.5,0.02,131.5509069726822,50.51181446237767
31,376,1877.0,0.02,180.39694755635364,55.14889375199663
32,376,1837.0,0.02,173.7175199833322,54.751222975710604
33,376,2274.5,0.02,172.95942939595975,55.30293656410055
34,376,2230.0,0.02,166.60223715356057,55.4613360851369
35,376,2326.5,0.02,161.69056581943593,55.19812131435313
36,376,2495.0,0.02,184.3737021101282,60.603909928747946
37,376,1610.0,0.02,184.53938892039847,60.89494353152336
38,376,2147.0,0.02,177.77193256134683,60.97513762940752
39,376,2047.5,0.02,173.85266786940554,61.16059472713064
40,376,2187.0,0.02,166.06059102809175,60.87435715249244
41,376,1321.5,0.02,186.52705450260893,67.25095732668613
42,376,2119.5,0.02,174.19789018022254,67.41573247503727
43,376,1728.5,0.02,168.2502570050828,67.19836575934228
44,376,1171.5,0.02,166.8145461894096,67.26179839195089
45,376,1166.5,0.02,174.35413495530474,67.00837586788421
46,376,2092.5,0.02,214.1700522240172,73.63331259057877
47,376,2220.0,0.02,202.99648855087605,73.68831514804921
48,376,2073.0,0.02,192.17667733862044,73.80491690940045
49,376,2211.0,0.02,182.89114745119784,73.73083935392664
