episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,1360.5,0.02,18.216085841464714,1.6175529841300464
1,376,1358.0,0.02,27.6177012971107,9.24662467964152
2,376,1315.0,0.02,27.28465959112695,9.262443453707593
3,376,1439.5,0.02,26.94027885223957,9.284264582268735
4,376,946.0,0.02,26.39659398413719,9.250098016667874
5,376,1270.0,0.02,26.270728410558498,9.335739920748042
6,376,1491.5,0.02,39.580017698572036,15.861684078865864
7,376,1423.5,0.02,36.80316761706738,16.033301290045394
8,376,1416.0,0.02,34.54429666793093,15.978700592162761
9,376,1185.5,0.02,31.788643842047833,16.099726144303666
10,376,1307.5,0.02,31.477743681440963,16.258533498074147
11,376,1165.5,0.02,43.811938514100746,19.550359254187725
12,376,1266.0,0.02,40.9435071742281,19.52515144297417
13,376,1223.0,0.02,38.47539787343208,19.556753219442164
14,376,1314.0,0.02,36.51123456244773,19.650295204304634
15,376,1519.5,0.02,37.13290771778593,19.770080145369185
16,376,1290.5,0.02,41.34039774093222,24.606472045817274
17,376,1287.5,0.02,38.61669226149295,24.386731381111957
18,376,1599.5,0.02,38.24588271912108,24.47034877919136
19,376,1511.5,0.02,36.47472326298978,24.579894491966733
20,376,1486.0,0.02,35.732931073675765,24.58328063437279
21,376,1233.0,0.02,51.61555983157868,30.16046159318153
22,376,1391.5,0.02,47.274816193479175,30.28710102020426
23,376,1475.5,0.02,46.66577479179869,30.283668472411783
24,376,1374.0,0.02,43.00243205212532,29.849968443525597
25,376,1192.0,0.02,42.553946383455965,30.16911663400366
26,376,1553.5,0.02,58.60679996267278,35.550045130100656
27,376,1441.5,0.02,53.492499589920044,35.88756397429933
28,376,1419.5,0.02,52.65594883167997,35.91909902146522
29,376,1689.0,0.02,50.01040880223538,35.82307083048719
30,376,1646.0,0.02,47.63451048161121,35.866939732368955
31,376,1357.0,0.02,73.77958838990394,40.832628016776226
32,376,1315.0,0.02,66.32770263387802,40.349446682219806
33,376,1631.0,0.02,62.71112685000643,40.69213907769386
34,376,1451.0,0.02,59.08007543137733,40.80698208098716
35,376,1513.0,0.02,56.12504242836161,40.57818323500613
36,376,1650.0,0.02,71.10080931541768,41.40764726476466
37,376,1322.0,0.02,70.86750873098983,41.41665878701717
38,376,1637.5,0.02,65.78723485419091,41.53311381441482
39,376,1531.0,0.02,62.113213518832595,41.65167108495185
40,376,1485.0,0.02,62.70645687427927,41.5022053312748
41,376,1405.5,0.02,82.80091712829915,46.80081725627818
42,376,1282.0,0.02,80.42844865169931,46.94606875358744
43,376,1326.0,0.02,78.30978560447693,46.838953941426375
44,376,1382.0,0.02,76.17356048746312,46.86929667249639
45,376,1290.0,0.02,80.06907016165714,46.859058298963184
46,376,1530.0,0.02,109.24401012380072,52.34355686065999
47,376,1504.0,0.02,102.23005689458644,52.50765540752005
48,376,1508.0,0.02,101.05487368969207,52.52317997749815
49,376,1305.0,0.02,88.35547877372579,52.762826422427565
