episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,1520.5,0.02,24.158991392005444,1.8228206094520205
1,376,1799.0,0.02,43.97483716619776,8.233326851687533
2,376,1650.0,0.02,42.119328032148644,8.62283999235072
3,376,1794.5,0.02,40.905411319529755,8.696247785649401
4,376,1781.0,0.02,37.96773088739273,8.756285605278421
5,376,1640.5,0.02,36.2793589399216,9.047416711107214
6,376,1763.0,0.02,51.89658882262859,16.09776489785377
7,376,1729.5,0.02,47.78725469366033,16.479807536652746
8,376,1815.5,0.02,46.509569497818646,16.418499675202877
9,376,1685.0,0.02,45.65754411068369,16.605127598376985
10,376,1918.5,0.02,44.657524103813984,16.75580008486484
11,376,1171.5,0.02,57.610024934119366,22.738924635217543
12,376,861.5,0.02,55.065125942230225,22.570750576384523
13,376,1242.5,0.02,54.033519430363434,22.63035372977561
14,376,1380.0,0.02,53.706115697292574,22.660783402463224
15,376,1727.0,0.02,50.59213707802144,22.735411131635626
16,376,1382.5,0.02,65.40281917693767,28.84640023048888
17,376,1198.0,0.02,62.04648018897848,28.54197138421079
18,376,2346.5,0.02,63.77859879554586,28.687444757907947
19,376,1550.5,0.02,61.60642140976926,28.762114205258957
20,376,1773.0,0.02,60.991965385193524,28.727006795558523
21,376,1223.0,0.02,73.03543110096709,34.26021587087753
22,376,1741.0,0.02,66.73143861141611,34.49096439239827
23,376,1472.0,0.02,69.7645329566712,34.471312959143454
24,376,1847.5,0.02,66.01638974534704,33.87413462172163
25,376,1578.5,0.02,63.998994137378446,34.275053851147916
26,376,2048.0,0.02,84.48392980149451,40.19846501248948
27,376,1800.5,0.02,77.56576516273174,40.535254818327886
28,376,1668.5,0.02,74.02584293548097,40.646925926208496
29,376,2023.0,0.02,73.10539534244131,40.42256207161761
30,376,1904.0,0.02,72.30916289065746,40.698659927287004
31,376,1918.5,0.02,99.47699207955219,47.344674140849015
32,376,1561.0,0.02,93.009024584547,46.446139295050436
33,376,2063.5,0.02,89.93022538245992,47.24361277641134
34,376,1816.5,0.02,86.64252687007823,47.36658310382924
35,376,1881.0,0.02,87.00796218121306,46.890883080502775
36,376,2054.0,0.02,92.20240970368081,47.98323168653123
37,376,1240.5,0.02,99.60150381859313,48.01368312632784
38,376,1980.5,0.02,90.76236324107393,47.86893541254896
39,376,1432.5,0.02,81.78926014900208,47.810367310300784
40,376,1854.0,0.02,78.66748028613151,47.83676311817575
41,376,1802.5,0.02,104.36464345708806,53.589282015536696
42,376,1823.0,0.02,98.25690095982652,53.65168717566957
43,376,1770.0,0.02,89.65387806486576,53.78813635034764
44,376,1533.0,0.02,92.0475254363202,53.9657684995773
45,376,1450.5,0.02,88.74458129862522,54.0371206770552
46,376,1897.5,0.02,104.3149711121904,59.34885558676213
47,376,2049.5,0.02,102.3435432454373,59.7803422745238
48,376,1954.5,0.02,95.36665108863343,59.677854649564054
49,376,1777.0,0.02,96.27515168900186,59.88598076840665
