episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2151.5,0.02,21.347842029718688,1.3630010919936986
1,376,186.0,0.02,41.720721894122185,13.828146102580618
2,376,2200.5,0.02,50.57948424207403,12.507051409559047
3,376,2205.0,0.02,47.481438271542814,13.498443781061376
4,376,2109.5,0.02,47.827715336008275,13.808979326106133
5,376,2334.5,0.02,46.01075220108032,14.310817469941808
6,376,1838.0,0.02,47.628903196213095,23.627803241952936
7,376,2121.5,0.02,47.200694424040776,23.752037474449644
8,376,1329.0,0.02,44.431139215509944,23.811201080362846
9,376,2134.5,0.02,43.968235992370765,23.836223505912944
10,376,1482.5,0.02,43.45216746025897,23.86329707186273
11,376,2454.5,0.02,48.465659151686,33.2471805836292
12,376,2225.0,0.02,45.22827689698402,33.36452604354696
13,376,2044.0,0.02,43.65513254226522,33.56542315888912
14,376,1577.0,0.02,42.825833510845264,33.48170207409149
15,376,2077.5,0.02,42.456527780979236,33.630262379950665
16,376,2228.0,0.02,47.64709855647797,42.41997802003901
17,376,1107.5,0.02,44.33879151750118,42.48627518592997
18,376,2101.5,0.02,43.56180606497095,42.232130669532935
19,376,664.5,0.02,43.249192334235985,42.32104447547426
20,376,1999.0,0.02,43.7478064831267,42.090763923969675
21,376,1388.0,0.02,51.61297999037073,50.874522442513324
22,376,1832.0,0.02,52.687505169117706,51.06762471097581
23,376,1383.0,0.02,49.389491096456,51.171815801174084
24,376,1278.0,0.02,50.00210540852648,50.65586558808672
25,376,2263.5,0.02,48.38796424358449,50.89943262871275
26,376,1710.0,0.02,61.510771071657224,59.95524732102739
27,376,2068.0,0.02,55.90564171304094,60.000619492632275
28,376,1659.0,0.02,57.06134862595416,60.26275766656754
29,376,1593.5,0.02,53.93461183284192,60.42263446970189
30,376,1356.5,0.02,53.04679916767364,60.10370236254753
31,376,2208.5,0.02,69.53525625898483,65.75914078570426
32,376,2039.5,0.02,66.82067630646077,65.83672723364323
33,376,1377.5,0.02,67.45020215562049,66.2179227281124
34,376,2255.0,0.02,66.70331312747712,65.9852979031015
35,376,2178.5,0.02,64.87094369847723,65.83686186404938
36,376,2059.5,0.02,80.24633415201878,71.76392245799937
37,376,2414.5,0.02,77.13970574926823,71.95078851821575
38,376,2018.5,0.02,76.20702321985935,72.08835270049724
39,376,2568.5,0.02,78.9733089284694,72.05677544817011
40,376,2227.5,0.02,76.33875086966981,71.8023242037347
41,376,2180.0,0.02,99.86487154757722,80.97700378742624
42,376,1823.0,0.02,96.70358322021809,81.03607618047836
43,376,1757.0,0.02,94.1897159941653,80.85454374678592
44,376,1161.0,0.02,92.33332116553125,80.50885399351729
45,376,2060.0,0.02,91.18704091741684,81.00793345431065
46,376,1281.5,0.02,107.11628569947912,87.83082858552324
47,376,1535.0,0.02,102.24939223553272,87.8095838871408
48,376,2205.0,0.02,97.83784123684498,87.64809490772004
49,376,2265.5,0.02,94.72229308270394,88.11260414123535
