episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2132.0,0.02,20.85222036831457,1.3739880510688434
1,376,186.0,0.02,42.46469550944389,13.78487507713602
2,376,2181.0,0.02,50.58196363043278,12.466497593737664
3,376,2185.5,0.02,47.47447105164223,13.450386133599789
4,376,1334.5,0.02,47.621548454812235,13.72002010649823
5,376,1644.5,0.02,42.756166427693465,13.837821739785214
6,376,1148.0,0.02,47.81681760067635,20.578669837180605
7,376,1347.5,0.02,45.276699446617286,20.529607965591104
8,376,1034.5,0.02,42.16460625161516,20.451892898437826
9,376,1395.0,0.02,41.12310140944542,20.478272328985497
10,376,1213.0,0.02,39.68321551667883,20.42730205109779
11,376,1742.0,0.02,46.5906784483727,26.99249725646161
12,376,1471.0,0.02,42.45134010467123,27.014527280279932
13,376,1339.5,0.02,40.221212006629784,27.06383592524427
14,376,1552.5,0.02,38.032560690920405,27.02244320828864
15,376,1378.5,0.02,37.515803578052115,27.250650385592845
16,376,1525.0,0.02,45.790663077476175,32.784023802331156
17,376,1019.0,0.02,42.248439043126204,32.836611007122286
18,376,1393.5,0.02,39.148425677989394,32.53319895521123
19,376,1471.0,0.02,39.40825940953924,32.591627115898945
20,376,1295.5,0.02,37.58455016004278,32.6003725376535
21,376,695.0,0.02,48.933431422456785,38.867420115369434
22,376,1128.5,0.02,47.261211618464046,39.01466583698354
23,376,1175.0,0.02,45.76519138762291,38.97149176293231
24,376,1296.5,0.02,44.441780524050934,38.46170413240473
25,376,1571.5,0.02,43.066700742599814,38.819369483501355
26,376,1357.5,0.02,61.6624949536425,46.176231739368845
27,376,1401.5,0.02,54.48030801022306,46.3103654232431
28,376,1271.5,0.02,54.33978165464198,46.48416038269692
29,376,876.5,0.02,50.95312057657445,46.56899188427215
30,376,1043.5,0.02,48.77656938674602,46.224197144204
31,376,1505.5,0.02,68.59983106876942,50.04460320574172
32,376,1336.5,0.02,65.19268345832825,49.63127980333694
33,376,1234.5,0.02,64.91714141723958,50.181176784190725
34,376,1541.0,0.02,61.76100810537947,50.14505699847607
35,376,1464.5,0.02,60.28033089130483,49.829494587918546
36,376,1374.5,0.02,78.05369209735952,53.69833101110255
37,376,1685.0,0.02,77.87119015734247,53.71325727219277
38,376,1299.0,0.02,74.06142858241466,53.79773763900108
39,376,1861.0,0.02,74.94346194571636,53.611951564220675
40,376,2109.5,0.02,72.26624723190957,53.708999562770764
41,376,1540.0,0.02,89.62640889654769,59.229028772800525
42,376,1468.5,0.02,84.83854691525723,59.00439497765074
43,376,1343.0,0.02,82.08440338297093,59.120888608567256
44,376,1233.0,0.02,82.67101397920162,58.91649582030925
45,376,1437.5,0.02,81.43731886782545,59.43186296300685
46,376,1183.5,0.02,114.71826598999348,63.41691971839742
47,376,1125.5,0.02,100.81879638611002,63.64369235140212
48,376,1484.5,0.02,98.59209110381755,63.6869539707265
49,376,1582.0,0.02,102.75381193769739,64.03875170362757
