episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2151.5,0.02,21.301630028631283,1.2977029680763579
1,376,186.0,0.02,41.66899895160756,13.809347334060263
2,376,2200.5,0.02,50.17643208960269,12.487465549022593
3,376,2205.0,0.02,47.22266255541051,13.491238211063628
4,376,2109.5,0.02,47.67547682752001,13.792117047817149
5,376,2334.5,0.02,45.90476802562146,14.303900919062025
6,376,1838.0,0.02,47.7608468710108,23.615463677873002
7,376,2121.5,0.02,47.55904573582588,23.74964566940957
8,376,1329.0,0.02,44.871227127440434,23.795215946562745
9,376,2134.5,0.02,44.56800294936971,23.83002721502426
10,376,1482.5,0.02,44.0400946875836,23.854472601667364
11,376,2454.5,0.02,49.323423339965494,33.22824735844389
12,376,2225.0,0.02,46.46753415655583,33.34019147081578
13,376,2044.0,0.02,44.9881769849899,33.555689573287964
14,376,1577.0,0.02,44.46472841120781,33.46288578561012
15,376,2077.5,0.02,44.092827134944024,33.613942815902384
16,376,2228.0,0.02,48.59148559164494,42.407519452115324
17,376,1107.5,0.02,45.490240969556446,42.4792794978365
18,376,2101.5,0.02,45.04139747518174,42.22140198565544
19,376,664.5,0.02,45.1450434999263,42.28896659485837
20,376,1999.0,0.02,45.35223800070742,42.06985006941126
21,376,1388.0,0.02,55.3356204895263,50.56551212960101
22,376,1832.0,0.02,55.73640010711995,50.75867867977061
23,376,1383.0,0.02,52.8433220792324,50.85558108065991
24,376,1278.0,0.02,52.80247096305198,50.352213940721875
25,376,2263.5,0.02,51.97948235146543,50.562750319217116
26,376,1710.0,0.02,63.95289204475728,59.989584192316585
27,376,2068.0,0.02,58.121301199527494,60.06425938707717
28,376,1659.0,0.02,59.8475604767495,60.266010832279285
29,376,1593.5,0.02,56.291309869035764,60.46879521836626
30,376,1356.5,0.02,54.473934589548314,60.118013909522524
31,376,2203.0,0.02,69.33677994951289,66.4218474246086
32,376,2039.5,0.02,67.85250659699136,66.42302268616696
33,376,1372.0,0.02,69.04796699767417,66.84308415270866
34,376,2255.0,0.02,69.24995997611512,66.60438829787235
35,376,2178.5,0.02,66.64579821647482,66.46780365071398
36,376,2059.5,0.02,79.15103620671212,74.1329419967976
37,376,2414.5,0.02,76.82699537784495,74.39383334301888
38,376,2018.5,0.02,76.43969427271092,74.41534143813114
39,376,2568.5,0.02,78.91289673967565,74.51705159532263
40,376,2227.5,0.02,77.76881983939637,74.27643274753652
41,376,2183.5,0.02,98.99435503939365,84.14764475315175
42,376,1807.0,0.02,94.64880199635283,84.22803836173199
43,376,1755.0,0.02,93.5582096627418,84.02246085633622
44,376,1145.0,0.02,91.94956896152902,83.69692828807425
45,376,2054.5,0.02,91.6525494392882,84.1124963760376
46,376,1260.0,0.02,114.59334344052255,91.577622149853
47,376,1524.5,0.02,110.679634195693,91.5418512466106
48,376,2238.0,0.02,103.34678659033268,91.33954543255746
49,376,2278.5,0.02,101.97461473180893,91.71252344009724
