episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2151.5,0.02,21.447704731179982,1.3560575671751018
1,376,186.0,0.02,41.52891854022412,13.76449227713524
2,376,2200.5,0.02,50.48049785735759,12.439916073007787
3,376,2205.0,0.02,47.09210740251744,13.437844370273833
4,376,2109.5,0.02,47.366129370445904,13.750768245534694
5,376,2334.5,0.02,45.49322501649248,14.252641436901499
6,376,1838.0,0.02,46.969078725956855,23.66510549504706
7,376,2121.5,0.02,46.236204781430835,23.796805802811967
8,376,1329.0,0.02,43.327208972991784,23.83946181358175
9,376,2134.5,0.02,42.743116054129096,23.875633604983065
10,376,1482.5,0.02,42.22609707903355,23.906085435380326
11,376,2454.5,0.02,48.178757142513355,33.42581839257098
12,376,2225.0,0.02,44.872995939660576,33.558778057707116
13,376,2044.0,0.02,42.76534221020151,33.75277121523593
14,376,1577.0,0.02,42.15794079354469,33.674502316941606
15,376,2077.5,0.02,41.88966535761001,33.8251111253779
16,376,2228.0,0.02,47.95598194954243,42.94049018494626
17,376,1107.5,0.02,44.52653977211485,42.9832176959261
18,376,2101.5,0.02,43.56510052782424,42.74251091733892
19,376,664.5,0.02,43.44301978577959,42.78692546803901
20,376,1999.0,0.02,43.73506057008784,42.581530276765214
21,376,1388.0,0.02,52.67840148540253,50.85760916040299
22,376,1832.0,0.02,53.67481125669276,51.06771481290777
23,376,1383.0,0.02,50.57306358662058,51.16187606973851
24,376,1278.0,0.02,50.63079177572372,50.6983040951668
25,376,2263.5,0.02,48.92625706753832,50.89553935477074
26,376,1710.0,0.02,61.326854015918485,60.93605829807038
27,376,2068.0,0.02,56.39978358086119,61.03478762444029
28,376,1659.0,0.02,56.658217739551624,61.30686562112037
29,376,1593.5,0.02,53.700137904349795,61.458268703298366
30,376,1356.5,0.02,52.46411681175232,61.10319944138222
31,376,2208.5,0.02,66.96233251754273,66.679649474773
32,376,2041.5,0.02,64.19077057026803,66.67352803209995
33,376,1378.5,0.02,65.04228105443589,67.05018470642415
34,376,2255.0,0.02,63.51557526689895,66.89034052098052
35,376,2184.0,0.02,62.11699993052381,66.6590819257371
36,376,2055.5,0.02,77.44665732789547,73.89619592910117
37,376,2371.5,0.02,72.44151260497722,74.26648200826442
38,376,1979.5,0.02,73.69966817409434,74.28659520250686
39,376,2500.5,0.02,75.73425369567059,74.31961221897856
40,376,2213.5,0.02,72.56051482038295,74.09176767633316
41,376,2137.0,0.02,91.13240488539351,84.53258867466704
42,376,1838.5,0.02,86.26184792214252,84.55829614274045
43,376,1783.0,0.02,84.36460610653492,84.40698203634709
44,376,1182.0,0.02,83.5515192518843,84.11321895680528
45,376,2031.5,0.02,82.02561050273002,84.52322393782596
46,376,1297.0,0.02,100.73325869377624,90.6107673847929
47,376,1526.0,0.02,94.97421513212488,90.79098472189396
48,376,2184.0,0.02,90.61367786691544,90.53606907864834
49,376,2220.0,0.02,89.10651547858056,90.99062349441203
