episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2012.0,0.02,20.75083486687182,1.6150469182470941
1,376,1148.5,0.02,47.14848267017527,12.574690401554108
2,376,2305.0,0.02,44.9056933636361,12.250419401107951
3,376,1759.5,0.02,45.1385489524679,12.885159718229415
4,376,976.0,0.02,43.12435391101431,12.727152702656198
5,376,980.0,0.02,41.51057529449463,12.710912935277248
6,376,2268.0,0.02,56.25175632060842,19.794759352156458
7,376,2174.0,0.02,54.05893297905617,20.1709958441714
8,376,2276.0,0.02,53.46789999211088,20.353584700442376
9,376,350.5,0.02,53.13478755950928,20.444012043323923
10,376,1942.0,0.02,54.850613556009655,20.29879362532433
11,376,1320.5,0.02,59.95203461545579,27.758921252920274
12,376,2102.0,0.02,56.7385020611134,27.83846059251339
13,376,1641.5,0.02,55.539955387724206,27.903556083111052
14,376,2234.5,0.02,55.915216501722945,28.002601496716764
15,376,2435.5,0.02,54.666319230769545,28.167767839228855
16,376,2242.0,0.02,66.81656898336207,33.976084014202684
17,376,1178.0,0.02,65.09858358667252,33.8843705755599
18,376,2812.5,0.02,63.47370254739802,33.92053064894169
19,376,2328.0,0.02,64.99076069162247,34.11998072583625
20,376,1726.5,0.02,63.09747313438578,33.962851803353495
21,376,1932.0,0.02,71.89412997124043,43.0982928986245
22,376,2226.0,0.02,72.54717138980297,43.362884531629845
23,376,2260.0,0.02,68.60400591505335,43.36570646407756
24,376,2234.0,0.02,68.53047045748285,43.10955704019425
25,376,1847.0,0.02,66.8835472502607,43.294677937284426
26,376,2026.5,0.02,79.87260116414821,52.33559442073741
27,376,2346.5,0.02,75.68531717138087,52.428086138786156
28,376,1719.0,0.02,77.9493825080547,52.64370711306308
29,376,2611.5,0.02,74.32586707460119,52.66298850039218
30,376,2215.5,0.02,72.51526692065787,52.570595690544614
31,376,2332.5,0.02,98.25589122163488,59.56608682997683
32,376,2024.0,0.02,95.9192597105148,59.456401216222886
33,376,2521.0,0.02,96.25844552669119,59.79955698581452
34,376,1900.0,0.02,93.09828462499253,59.97837813357089
35,376,1956.5,0.02,91.2260378979622,59.81307608015994
36,376,2670.0,0.02,96.35330028736846,67.4905429799506
37,376,1937.5,0.02,95.61781395242569,67.59742130117213
38,376,2298.0,0.02,97.844061572501,67.93419714176909
39,376,2415.5,0.02,95.34168775030908,68.03601804692694
40,376,2360.0,0.02,91.77978604905148,67.886877070082
41,376,1336.0,0.02,127.45146337468573,76.52149689451177
42,376,2126.5,0.02,121.12768520192897,76.90411281585693
43,376,1785.0,0.02,120.64097715945954,76.55966687709727
44,376,1361.5,0.02,118.52479692722889,76.54158811366304
45,376,964.0,0.02,115.05977872077455,76.38972544162831
46,376,1883.5,0.02,137.9940783318053,82.50638154212464
47,376,2214.0,0.02,134.0839450308617,82.58439287226251
48,376,2291.0,0.02,126.1420014665482,82.63726143126792
49,376,2024.5,0.02,123.72094735693425,82.69582431874376
