episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2031.5,0.02,21.191474252355558,1.6467903877977415
1,376,1147.5,0.02,45.13161918203881,11.622848732674376
2,376,2300.5,0.02,43.264245890556495,11.13782195334739
3,376,1746.0,0.02,42.3987583302437,11.761767356953722
4,376,976.0,0.02,41.0224689955407,11.55312897296662
5,376,892.0,0.02,39.6246040349311,11.597659935342504
6,376,2254.0,0.02,55.69332629569033,18.0773960428035
7,376,2160.0,0.02,53.09117209150436,18.44875729844925
8,376,2262.0,0.02,51.20348574760112,18.615912191411283
9,376,915.5,0.02,50.471210205808596,18.74205230652018
10,376,1913.0,0.02,51.000437789774956,18.640440808965806
11,376,1992.5,0.02,61.733074431723736,25.339575336334555
12,376,2149.0,0.02,58.13334698879972,25.57177294061539
13,376,1667.0,0.02,55.6634667173345,25.611193991721944
14,376,2210.5,0.02,53.11054971877565,25.716933777991763
15,376,2487.0,0.02,52.98629892633316,25.895965611681024
16,376,2258.0,0.02,63.57837906796882,32.126048945366065
17,376,1172.5,0.02,60.69394820294482,32.044496140581494
18,376,2783.5,0.02,57.88864809147855,32.10456117163313
19,376,2328.0,0.02,57.52296909372857,32.24422119526153
20,376,1716.0,0.02,57.12769759462235,32.12927395739454
21,376,1918.0,0.02,71.21394714396051,40.378065373035184
22,376,2206.5,0.02,70.21537349579182,40.64288384863671
23,376,2260.0,0.02,65.72153670737084,40.71497378450759
24,376,2230.5,0.02,63.4587041824422,40.401176229436345
25,376,1852.5,0.02,60.994380677,40.55759581099165
26,376,2007.5,0.02,83.06591093286555,49.72984028877096
27,376,2346.5,0.02,74.17988944560923,49.73929672038302
28,376,1694.5,0.02,73.44408957501675,50.03168253188438
29,376,2568.5,0.02,71.6181974309556,50.01880478351674
30,376,2251.0,0.02,67.46472616905862,49.88594269245229
31,376,2332.5,0.02,88.86430636872636,58.4175644428172
32,376,2029.5,0.02,82.40127563476562,58.2783454732692
33,376,2497.5,0.02,79.01404713569804,58.64619255065918
34,376,1906.5,0.02,77.23836570090435,58.87644749499382
35,376,1952.5,0.02,73.76778439258007,58.58757979819115
36,376,2646.0,0.02,87.84381852758692,65.16483366743047
37,376,1976.5,0.02,85.5529318566018,65.32014578961312
38,376,2278.5,0.02,84.16673769849412,65.61753625058114
39,376,2431.0,0.02,79.94946909965353,65.73503083371102
40,376,2350.5,0.02,77.3332031229709,65.42126168595983
41,376,1332.5,0.02,119.64377059327795,73.13909515421442
42,376,2151.0,0.02,107.61207394397005,73.50867563612918
43,376,1781.0,0.02,110.53897990571691,73.03119956686142
44,376,1347.5,0.02,106.8091204115685,73.13292274069279
45,376,910.5,0.02,100.54597745043166,72.82691298139856
46,376,2146.0,0.02,112.75441542077571,77.83945193189255
47,376,2189.5,0.02,107.03303427391864,77.98800226982604
48,376,2271.5,0.02,105.50572862016394,77.8588568301911
49,376,1741.5,0.02,100.64414629023126,77.85477143145621
