episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2161.5,0.02,26.777816383350498,1.869301345727879
1,376,1765.0,0.02,63.67615724624471,11.663767063871344
2,376,2242.5,0.02,61.74555164195122,11.425833847928555
3,376,1804.5,0.02,64.8953006470457,11.783541284977122
4,376,1486.0,0.02,60.35479493851357,11.619829865212136
5,376,1192.5,0.02,59.65412673544377,11.655845787930996
6,376,2338.5,0.02,78.20401139969522,20.459693485117974
7,376,2053.0,0.02,73.60616948756766,20.75435348267251
8,376,2004.0,0.02,68.67026643550142,20.775679073435196
9,376,1065.5,0.02,67.98794408554727,20.738268710197286
10,376,1443.0,0.02,67.1565021910566,20.722402912505128
11,376,1222.5,0.02,92.82495033994634,27.15408487015582
12,376,1694.5,0.02,85.99083852767944,27.081585818148675
13,376,1244.0,0.02,84.86163130212337,27.189670867108283
14,376,2053.5,0.02,82.84357619285583,27.136092307719778
15,376,2337.5,0.02,80.8555520849025,27.339108411301957
16,376,2124.0,0.02,98.9764574132067,33.67040088328909
17,376,1287.5,0.02,96.84864042160359,33.50229283089333
18,376,2740.5,0.02,89.52581964655126,33.69205318105982
19,376,2173.5,0.02,91.1511641969072,33.87003217859471
20,376,1622.5,0.02,89.11836749949354,33.64879123708035
21,376,1710.5,0.02,110.6320830304572,42.86951776261025
22,376,2081.5,0.02,108.35836314140482,43.122657857042675
23,376,1856.0,0.02,105.25006939502472,43.34555652293753
24,376,2223.0,0.02,101.26690253805607,42.787475829428814
25,376,2059.5,0.02,99.51103461042364,43.0486424425815
26,376,1947.0,0.02,117.34510838731806,51.47753458834709
27,376,2201.5,0.02,113.23296456641339,51.62954192465924
28,376,1422.5,0.02,110.21336557510051,51.845036313888876
29,376,2393.5,0.02,104.24005607848471,51.69485560883867
30,376,2291.0,0.02,101.33603602267326,51.66526514418582
31,376,1914.5,0.02,146.9167416450825,60.146271563590844
32,376,1940.5,0.02,144.7707543981836,59.41378976943645
33,376,2421.5,0.02,141.83647942035756,60.052930568126925
34,376,2143.5,0.02,137.15830449855073,60.3566508597516
35,376,2437.5,0.02,135.05939926999682,59.86474653000527
36,376,2549.5,0.02,163.1182985711605,68.05398346515412
37,376,1599.0,0.02,157.70385866976798,68.34145687996073
38,376,2167.5,0.02,149.8772475161451,68.6362217639355
39,376,2065.5,0.02,145.13705434190467,68.4926832787534
40,376,2225.0,0.02,143.67062550402702,68.23288695355679
41,376,1428.5,0.02,181.4676988784303,75.22257543117442
42,376,2304.5,0.02,176.92678189784922,75.51162325067723
43,376,1719.0,0.02,172.53823901237325,75.36780843328923
44,376,1182.5,0.02,171.4215549103757,75.35021077825668
45,376,1152.5,0.02,173.32835149765015,75.06666427977542
46,376,2126.0,0.02,194.77814774817608,81.75873924823517
47,376,2293.5,0.02,190.83992031787304,81.89008588993804
48,376,2240.0,0.02,183.2882459924576,81.94054922144464
49,376,2023.5,0.02,179.65696359188,81.8411869495473
