episode,steps,reward_return,epsilon,avg_loss,avg_q
0,376,605.0,0.988125,30.531433202968998,1.7741183082449634
1,376,535.0,0.9762183333333333,25.902985856888144,4.030365577720581
2,376,600.0,0.9643116666666667,12.738227096009762,3.065009783240075
3,376,790.0,0.952405,8.127385857891529,3.109764116558623
4,376,590.0,0.9404983333333333,6.667019690287874,3.135824128985405
5,376,640.0,0.9285916666666667,6.028658883051669,3.208880073529609
6,376,510.0,0.916685,9.316005910647677,7.246971669349264
7,376,710.0,0.9047783333333334,7.9695763511860624,7.325902024482159
8,376,785.0,0.8928716666666667,8.078481253791363,7.448033129915278
9,376,900.0,0.880965,8.148591996507442,7.574231892190081
10,376,735.0,0.8690583333333334,7.487985346545565,7.5111297635321925
11,376,770.0,0.8571516666666666,9.733462925921096,11.677354637612687
12,376,925.0,0.845245,8.606837294203169,11.74818453890212
13,376,1035.0,0.8333383333333333,8.553819892888374,11.762210802829012
14,376,965.0,0.8214316666666667,7.957030789649233,11.822574250241543
15,376,1085.0,0.809525,8.114340572915179,11.810861445487813
16,376,865.0,0.7976183333333333,8.159360536235445,16.41575596180368
17,376,670.0,0.7857116666666667,7.85829247851321,16.41879224523585
18,376,940.0,0.773805,7.590786134626003,16.411115014806708
19,376,965.0,0.7618983333333333,7.370974537857036,16.505794788928743
20,376,1840.0,0.05,7.3483664139788205,16.603002822145502
21,376,2005.0,0.05,9.100080476796373,21.769129966167693
22,376,2015.0,0.05,8.575395106001103,21.87019045809482
23,376,2265.0,0.05,8.538444077397914,21.980114140409103
24,376,2345.0,0.05,8.572817124901935,22.158902700911177
25,376,2170.0,0.05,8.91911050867527,22.411901600817416
26,376,1880.0,0.05,10.711609140989628,26.749014697176346
27,376,2440.0,0.05,10.694979947932223,26.844392649670866
28,376,2165.0,0.05,10.366974748195485,27.06792158776141
29,376,2160.0,0.05,10.679228788360636,27.21984056208996
30,376,2490.0,0.05,11.332133614002391,27.349301916487672
31,376,2320.0,0.05,13.935814369232096,32.398560376877484
32,376,1825.0,0.05,13.667925403473225,32.557541786356175
33,376,2340.0,0.05,13.867559114669232,32.593042256984305
34,376,2285.0,0.05,14.16177510898164,32.83046113176549
35,376,2220.0,0.05,13.984797268788865,32.89395739169831
36,376,2300.0,0.05,17.7251766660112,37.83951306850352
37,376,2460.0,0.05,18.380307003855705,38.050999255890545
38,376,3350.0,0.05,18.207825885808216,38.139643009672774
39,376,1910.0,0.05,19.05644909688767,38.488710352715024
40,376,2450.0,0.05,19.28908646487175,38.53158377586527
41,376,3040.0,0.05,21.62606048076711,44.49803509610764
42,376,2465.0,0.05,23.843452452345097,44.692142476426795
43,376,3100.0,0.05,23.73660474571776,45.10724967591306
44,376,2140.0,0.05,26.13379690907103,45.20188863226708
45,376,2405.0,0.05,23.454847289526715,45.090847106690106
46,376,2605.0,0.05,33.981786541482236,51.187950915478645
47,376,3095.0,0.05,34.71685684614993,51.56871033729391
48,376,2320.0,0.05,34.81488702398666,51.51139582978918
49,376,3025.0,0.05,35.40489354666243,51.707268704759315
50,376,3620.0,0.05,37.3434213881797,52.23135444965769
51,376,2920.0,0.05,47.73210110055639,56.83946712980879
52,376,3835.0,0.05,46.74240872707773,57.11340664802714
53,376,2150.0,0.05,45.57126185741831,57.24571210780042
54,376,2595.0,0.05,45.66746791372908,57.252273884225396
55,376,2465.0,0.05,43.260205552933066,57.31430867377748
56,376,2230.0,0.05,52.338821548096675,62.251876557126955
57,376,2245.0,0.05,53.98582681189192,62.41923700494969
58,376,1955.0,0.05,49.24376742636904,62.34568120063619
59,376,3540.0,0.05,50.72500842429222,62.428853866901804
60,376,2400.0,0.05,51.04785213571914,62.47811912983022
61,376,2065.0,0.05,67.731227737792,68.93380973694173
62,376,3310.0,0.05,64.55594838933742,69.04545734283772
63,376,3395.0,0.05,67.54325956233005,69.57312360722968
64,376,2035.0,0.05,70.0414421254016,69.60477270978562
65,376,1920.0,0.05,65.75423408315537,69.62326682882106
66,376,2900.0,0.05,80.67430266420892,76.04565277505428
67,376,2680.0,0.05,81.67899684703096,76.21645338991856
68,376,2230.0,0.05,80.076183161837,76.38799186463052
69,376,2740.0,0.05,82.6497150989289,76.30584410403637
70,376,2905.0,0.05,77.97001675341991,76.26094191125098
71,376,2635.0,0.05,95.08567625411014,81.2933978628605
72,376,2830.0,0.05,91.76162647186442,81.45699083044174
73,376,2735.0,0.05,93.68837801953579,81.58877108959442
74,376,2545.0,0.05,95.08237937663463,81.61052862126776
75,376,3135.0,0.05,92.87235072318543,81.78260172174332
76,376,2405.0,0.05,117.034905180018,88.2917530587379
77,376,2555.0,0.05,112.11345290630422,88.66704246845651
78,376,2405.0,0.05,107.64774005463782,88.76127573784362
79,376,2930.0,0.05,105.78627766954138,88.7693294362819
80,376,2660.0,0.05,110.71423651309723,88.52691354142858
81,376,3205.0,0.05,109.52550847986912,93.49367462320531
82,376,2920.0,0.05,113.32520591451767,93.98120038052822
83,376,2530.0,0.05,108.67999752024387,93.7337800695541
84,376,2855.0,0.05,114.62141407804286,93.98981554964756
85,376,1745.0,0.05,115.93374172677385,93.99457913256705
86,376,2810.0,0.05,129.97724301764305,99.88264057484079
87,376,2695.0,0.05,118.65900610862894,99.5554900676646
88,376,1795.0,0.05,113.11059331386647,100.03349066795187
89,376,2695.0,0.05,119.59124482946193,99.43610343527287
90,376,2765.0,0.05,116.30223481198574,99.89625255097734
91,376,2910.0,0.05,135.72385861011261,104.59192491084971
92,376,4140.0,0.05,150.41124069437066,104.80145472668588
93,376,2785.0,0.05,134.6122737032302,105.07791042327881
94,376,1935.0,0.05,140.1925181023618,105.12220656618159
95,376,2885.0,0.05,143.60223547955778,104.67550801216288
96,376,4225.0,0.05,153.41386353715936,110.4880494056864
97,376,4170.0,0.05,159.7898503668765,110.87330996736567
98,376,2645.0,0.05,160.2675097851043,110.82364950788782
99,376,2995.0,0.05,156.53017141463909,110.8299902449263
100,376,1865.0,0.05,165.23361097498142,110.30453854418815
101,376,2405.0,0.05,183.71178055824117,117.280568751883
102,376,2180.0,0.05,188.40684769001413,116.99046218141596
103,376,2850.0,0.05,189.80266510172092,116.74563298326858
104,376,2455.0,0.05,189.0749400422928,116.1095849503862
105,376,1885.0,0.05,181.43187491437223,116.7276358300067
106,376,2745.0,0.05,185.82371044158936,117.86381599750925
107,376,2320.0,0.05,189.77148534896526,117.94643093677277
108,376,2775.0,0.05,184.3348764663047,117.9928406045792
109,376,2365.0,0.05,183.56741723608462,117.55708164864399
110,376,2655.0,0.05,191.00776635839583,118.03869243378335
111,376,3255.0,0.05,206.3658613245538,125.3463489451307
112,376,2155.0,0.05,200.18892739681488,125.46852878814047
113,376,2475.0,0.05,192.55831646411977,126.25582469777858
114,376,3715.0,0.05,207.8069206197211,125.61206677619447
115,376,1870.0,0.05,196.5279456808212,125.9968478831839
116,376,2910.0,0.05,230.72350767825512,133.5335833366881
117,376,1900.0,0.05,236.81998838262356,133.49199747531972
118,376,3530.0,0.05,229.36530807170462,133.84249206299478
119,376,1720.0,0.05,226.16213920268606,133.06129488031914
120,376,2900.0,0.05,238.7175392191461,132.75185615458386
121,376,2195.0,0.05,262.49563292239577,140.16482570323538
122,376,2095.0,0.05,248.58655807819773,140.05096867743958
123,376,1660.0,0.05,250.85737725521656,139.7154034959509
124,376,2760.0,0.05,262.6233479723017,139.07254223113364
125,376,3175.0,0.05,258.39391535901007,139.2967916245156
126,376,2905.0,0.05,250.96993984060086,145.69667763405658
127,376,2020.0,0.05,249.9067018184256,145.82968257335907
128,376,3490.0,0.05,256.06392292266196,145.24895753251747
129,376,3200.0,0.05,248.55345085833935,145.70835235271048
130,376,2970.0,0.05,258.1635595991256,145.86868424111225
131,376,2825.0,0.05,307.40620450770604,151.6364494080239
132,376,2440.0,0.05,317.5450062853225,151.98149977339074
133,376,1655.0,0.05,307.9997804925797,151.45675720052517
134,376,1725.0,0.05,294.7140241582343,152.15935191702334
135,376,2525.0,0.05,310.93007615272035,151.73802676099413
136,376,2715.0,0.05,297.0730223960065,158.51088065289437
137,376,1975.0,0.05,312.2529212870496,157.87134182706794
138,376,3085.0,0.05,299.8600622542361,158.48447061092295
139,376,2930.0,0.05,300.34472257532974,158.29947727284534
140,376,2620.0,0.05,317.21621537715833,158.19197975321018
141,376,3855.0,0.05,298.0759571359513,165.54259499083173
142,376,3855.0,0.05,284.3825782004823,166.23407777826836
143,376,1880.0,0.05,292.6193052352743,165.86296333150662
144,376,3090.0,0.05,283.2300267726817,165.84419291070168
145,376,4295.0,0.05,287.13281556393235,165.95802773820594
146,376,1905.0,0.05,362.92760372161865,176.95576026591849
147,376,2130.0,0.05,323.32565315733564,176.7338510066905
148,376,3430.0,0.05,337.3342790197819,176.4522545185495
149,376,1775.0,0.05,332.9839135839584,176.78290192624357
150,376,2835.0,0.05,332.79084396362305,177.11889311607848
151,376,2515.0,0.05,340.97131534332925,181.9792329098316
152,376,2020.0,0.05,335.1312117880963,182.7845030033842
153,376,2760.0,0.05,345.0095263542013,182.555310472529
154,376,3220.0,0.05,337.2130236321307,183.22380134907175
155,376,2710.0,0.05,319.44603372127455,183.0654205565757
156,376,1600.0,0.05,338.42390228839633,186.4565129381545
157,376,1565.0,0.05,355.72559878166686,185.7937134681864
158,376,2185.0,0.05,349.2652025425688,185.10529510011065
159,376,4385.0,0.05,343.4016913961857,186.14565496241792
160,376,2510.0,0.05,369.8425939032372,185.90578501275246
161,376,4100.0,0.05,354.6950464248657,188.61569984923017
162,376,3835.0,0.05,346.89164301689635,189.36622964574934
163,376,1905.0,0.05,345.1254265967836,188.4599806602965
164,376,3100.0,0.05,332.66793529023516,188.2379273759558
165,376,4400.0,0.05,344.0600855198312,188.7279507657315
166,376,2090.0,0.05,458.3629393070302,197.50307655334473
167,376,1905.0,0.05,393.132205881971,197.57326682070467
168,376,3845.0,0.05,420.4576246383342,197.11099835659596
169,376,1695.0,0.05,395.1921202476988,197.5890595862206
170,376,3025.0,0.05,420.6743374682487,197.7612039281967
171,376,2775.0,0.05,376.1302794395609,194.99948461005027
172,376,2075.0,0.05,362.14771743530923,195.55414467669547
173,376,2730.0,0.05,367.05887425199467,195.25675846668
174,376,3460.0,0.05,368.3253689420984,195.8304731896583
175,376,2800.0,0.05,339.13462446091023,195.43528589289238
176,376,1840.0,0.05,370.8131850628143,201.85419882104753
177,376,1425.0,0.05,373.0612393440084,201.29217249281862
178,376,2325.0,0.05,392.28281755650295,200.3112206966319
179,376,4425.0,0.05,362.5145764655255,201.65118525890594
180,376,2135.0,0.05,393.3244873006293,201.32431862202097
181,376,4115.0,0.05,387.52444464095095,202.47000604994753
182,376,3895.0,0.05,359.16950465263204,203.00849926725348
183,376,1840.0,0.05,374.1789780271814,202.0423552736323
184,376,2975.0,0.05,361.50101716467674,201.72502980333692
185,376,4430.0,0.05,373.97649186722776,201.10417905766914
