2026-02-22 21:25:06 | INFO | Logging dir: runs/sig_pos_sell_all_sr_enh_75ad40
2026-02-22 21:25:30 | INFO | Episode 10/200 | reward_return -325.19 | epsilon 0.881 | avg_loss 0.4785 | avg_q -1.2948
2026-02-22 21:25:52 | INFO | Episode 20/200 | reward_return -154.82 | epsilon 0.762 | avg_loss 0.0027 | avg_q -1.0243
2026-02-22 21:27:00 | INFO | Eval at episode 20 | mean_reward_return -0.03 | mean_return_rate 770.20% | sharpe_ratio 0.6103 | win_rate 0.50
2026-02-22 21:27:24 | INFO | Episode 30/200 | reward_return -30.28 | epsilon 0.050 | avg_loss 0.0155 | avg_q -1.4488
2026-02-22 21:27:47 | INFO | Episode 40/200 | reward_return -15.10 | epsilon 0.050 | avg_loss 0.0045 | avg_q -1.2323
2026-02-22 21:28:55 | INFO | Eval at episode 40 | mean_reward_return -0.06 | mean_return_rate 479.46% | sharpe_ratio 0.6238 | win_rate 0.60
2026-02-22 21:29:19 | INFO | Episode 50/200 | reward_return -5.43 | epsilon 0.050 | avg_loss 0.0047 | avg_q -1.1277
2026-02-22 21:29:42 | INFO | Episode 60/200 | reward_return -4.83 | epsilon 0.050 | avg_loss 0.0047 | avg_q -1.0811
2026-02-22 21:30:51 | INFO | Eval at episode 60 | mean_reward_return -0.10 | mean_return_rate 1286.15% | sharpe_ratio 0.6144 | win_rate 0.36
2026-02-22 21:31:15 | INFO | Episode 70/200 | reward_return -9.94 | epsilon 0.050 | avg_loss 0.0050 | avg_q -1.0599
2026-02-22 21:31:39 | INFO | Episode 80/200 | reward_return -0.07 | epsilon 0.050 | avg_loss 0.0043 | avg_q -1.0011
2026-02-22 21:32:47 | INFO | Eval at episode 80 | mean_reward_return -0.04 | mean_return_rate 1280.63% | sharpe_ratio 0.6136 | win_rate 0.52
2026-02-22 21:33:11 | INFO | Episode 90/200 | reward_return 0.25 | epsilon 0.050 | avg_loss 0.0042 | avg_q -0.9443
2026-02-22 21:33:35 | INFO | Episode 100/200 | reward_return 0.12 | epsilon 0.050 | avg_loss 0.0037 | avg_q -0.9164
2026-02-22 21:34:43 | INFO | Eval at episode 100 | mean_reward_return 0.08 | mean_return_rate 1216.07% | sharpe_ratio 0.5920 | win_rate 0.66
2026-02-22 21:35:07 | INFO | Episode 110/200 | reward_return -0.09 | epsilon 0.050 | avg_loss 0.0042 | avg_q -0.8919
2026-02-22 21:35:31 | INFO | Episode 120/200 | reward_return -9.85 | epsilon 0.050 | avg_loss 0.0036 | avg_q -0.8482
2026-02-22 21:36:39 | INFO | Eval at episode 120 | mean_reward_return -0.08 | mean_return_rate 1545.25% | sharpe_ratio 0.6383 | win_rate 0.44
2026-02-22 21:37:03 | INFO | Episode 130/200 | reward_return 0.33 | epsilon 0.050 | avg_loss 0.0037 | avg_q -0.8230
2026-02-22 21:37:28 | INFO | Episode 140/200 | reward_return -0.18 | epsilon 0.050 | avg_loss 0.0036 | avg_q -0.7585
2026-02-22 21:38:37 | INFO | Eval at episode 140 | mean_reward_return -0.10 | mean_return_rate 1285.97% | sharpe_ratio 0.6129 | win_rate 0.38
2026-02-22 21:39:01 | INFO | Episode 150/200 | reward_return -0.18 | epsilon 0.050 | avg_loss 0.0077 | avg_q -0.7095
2026-02-22 21:39:25 | INFO | Episode 160/200 | reward_return -4.67 | epsilon 0.050 | avg_loss 0.0041 | avg_q -0.6549
2026-02-22 21:40:33 | INFO | Eval at episode 160 | mean_reward_return 0.00 | mean_return_rate 161.90% | sharpe_ratio 0.3688 | win_rate 0.44
2026-02-22 21:40:57 | INFO | Episode 170/200 | reward_return -0.18 | epsilon 0.050 | avg_loss 0.0037 | avg_q -0.6375
2026-02-22 21:41:21 | INFO | Episode 180/200 | reward_return -4.54 | epsilon 0.050 | avg_loss 0.0035 | avg_q -0.6253
2026-02-22 21:42:29 | INFO | Eval at episode 180 | mean_reward_return -0.00 | mean_return_rate 553.92% | sharpe_ratio 0.6269 | win_rate 0.52
2026-02-22 21:42:53 | INFO | Episode 190/200 | reward_return -4.92 | epsilon 0.050 | avg_loss 0.0038 | avg_q -0.6127
2026-02-22 21:43:17 | INFO | Episode 200/200 | reward_return -24.53 | epsilon 0.050 | avg_loss 0.0033 | avg_q -0.5801
2026-02-22 21:44:25 | INFO | Eval at episode 200 | mean_reward_return -0.03 | mean_return_rate 61.76% | sharpe_ratio 1.0637 | win_rate 0.46
2026-02-22 21:44:25 | INFO | Eval history written to runs/sig_pos_sell_all_sr_enh_75ad40/eval_history.csv
2026-02-22 21:44:25 | INFO | Run artifacts saved to runs/sig_pos_sell_all_sr_enh_75ad40
