episode,steps,reward_return,epsilon,avg_loss,avg_q
0,376,815.0,0.988125,64.62527233038466,2.4656301675135266
1,376,30.0,0.9762183333333333,44.32269960768679,3.9036518915536558
2,376,290.0,0.9643116666666667,31.203925061733166,3.6854582143590804
3,376,890.0,0.952405,25.444523851922217,3.717325453428512
4,376,280.0,0.9404983333333333,20.96487343057673,3.5900097154080868
5,376,110.0,0.9285916666666667,18.39468993024623,3.3267680374865836
6,376,125.0,0.916685,26.17264894475328,5.962921372119417
7,376,360.0,0.9047783333333334,24.663254466462643,6.03122238085625
8,376,450.0,0.8928716666666667,23.200697353545657,6.2595741970742
9,376,775.0,0.880965,23.22983198216621,6.402584552130801
10,376,900.0,0.8690583333333334,22.111364930234057,6.199534946299614
11,376,250.0,0.8571516666666666,34.37149505412325,12.032881060813336
12,376,340.0,0.845245,33.135752414135226,12.050198024891792
13,376,825.0,0.8333383333333333,33.11455303303739,12.229717498129986
14,376,1695.0,0.8214316666666667,32.50977314533071,12.430225359632614
15,376,1055.0,0.809525,33.88259541988373,12.61721496125485
16,376,900.0,0.7976183333333333,53.038952797017195,16.086160084034535
17,376,215.0,0.7857116666666667,52.927990030735096,16.023281059366592
18,376,1120.0,0.773805,49.32953243306343,16.19888884209572
19,376,405.0,0.7618983333333333,49.77015010346758,16.5168486706754
20,376,1655.0,0.05,48.20691971068687,16.523550743752338
21,376,2295.0,0.05,78.3533866101123,21.585643060663912
22,376,1765.0,0.05,76.93098395936032,21.967271297535998
23,376,3565.0,0.05,76.29007222804617,22.3267016461555
24,376,2750.0,0.05,73.82244586437307,22.91015894362267
25,376,2320.0,0.05,80.29138939431373,23.92699522160469
26,376,2140.0,0.05,94.9447038376585,28.77791683724586
27,376,2390.0,0.05,95.58407336093009,29.016818518334247
28,376,2215.0,0.05,90.74993703213144,29.276513632307662
29,376,2125.0,0.05,92.90162601369492,29.8169547496958
30,376,3525.0,0.05,94.51417656147734,30.069550306239027
31,376,2240.0,0.05,109.28559133347045,37.47114945472555
32,376,2000.0,0.05,106.82474050116032,37.62253201768753
33,376,2445.0,0.05,107.66081457442425,37.869503219076925
34,376,2515.0,0.05,109.40537338053926,38.19724918426351
35,376,2220.0,0.05,108.15597886227548,38.22017245089754
36,376,2145.0,0.05,124.14911287388902,44.09933425010519
37,376,2385.0,0.05,124.30651671835717,44.93542536268843
38,376,3855.0,0.05,122.63567544044332,44.76553129642568
39,376,1405.0,0.05,129.4379869623387,45.324548843059134
40,376,1810.0,0.05,128.35752597260984,45.30451687346113
41,376,2760.0,0.05,142.63296259210466,50.657144384181244
42,376,2070.0,0.05,143.3608009967398,50.73660469055176
43,376,3335.0,0.05,142.29857754200063,51.02386596355032
44,376,2210.0,0.05,153.96966846953046,51.37732379994494
45,376,2085.0,0.05,140.33536272860587,50.98918863053017
46,376,2260.0,0.05,156.6647455945928,55.40011810749135
47,376,2835.0,0.05,153.99393402261936,55.354867082961064
48,376,2040.0,0.05,151.35574466624158,55.324341753695876
49,376,2960.0,0.05,152.40177449774234,55.80202538916405
50,376,3650.0,0.05,157.35249088165608,56.24459267677145
51,376,2570.0,0.05,182.67967029328042,60.0844981010924
52,376,3465.0,0.05,176.6966598186087,60.23549540499423
53,376,1970.0,0.05,171.59424128430956,60.52494917524622
54,376,2210.0,0.05,173.17920358130272,60.62709204694058
55,376,2270.0,0.05,164.84672500732097,60.738921297357436
56,376,2255.0,0.05,161.43993944817402,64.02634622695598
57,376,2220.0,0.05,162.46116961824134,64.22875584947302
58,376,1600.0,0.05,153.80250676134798,63.90160287694728
59,376,3270.0,0.05,160.37221311001068,64.03557943790517
60,376,1755.0,0.05,158.74157993844216,64.1361006168609
61,376,2020.0,0.05,171.23282367625134,72.00860957896455
62,376,2550.0,0.05,164.04880365412285,72.1245506672149
63,376,3650.0,0.05,167.9365676413191,72.54888878477381
64,376,1955.0,0.05,180.08899991055753,72.69039887570321
65,376,1840.0,0.05,161.37252083230527,72.50400095797599
66,376,2350.0,0.05,156.08314635905813,76.7756259187739
67,376,2080.0,0.05,156.9130009285947,76.89350189046657
68,376,2045.0,0.05,151.6006028753646,76.93666786843158
69,376,2680.0,0.05,156.7508601432151,76.70794294235554
70,376,2825.0,0.05,151.20611485521843,76.93132577043899
71,376,2390.0,0.05,171.42220210014506,82.19391090311903
72,376,2380.0,0.05,167.7168437572236,82.34014849967144
73,376,2750.0,0.05,174.33980853506858,82.51084207981191
74,376,2245.0,0.05,172.94122463591555,82.30431447130569
75,376,2660.0,0.05,170.21706498937405,82.48480959141509
76,376,2150.0,0.05,200.73123890288332,88.92760019099458
77,376,2610.0,0.05,191.61315838834074,89.41293182778865
78,376,2085.0,0.05,187.2352548660116,89.5513247226147
79,376,2660.0,0.05,179.79315338743493,89.28316856952424
80,376,1805.0,0.05,189.23307790147499,89.20013693545727
81,376,2690.0,0.05,196.51800277385306,94.86283531594783
82,376,2500.0,0.05,203.31970025123434,94.97664689003153
83,376,2020.0,0.05,198.78049755096436,95.05915867014134
84,376,2480.0,0.05,201.67968840294697,95.00017072799358
85,376,1935.0,0.05,210.30761828321093,95.25159466520269
86,376,2490.0,0.05,213.12614432801593,99.55062107329672
87,376,2715.0,0.05,200.24787667457093,99.2322504774053
88,376,1845.0,0.05,195.50595677152594,99.73945079965794
89,376,2455.0,0.05,202.04985038270343,98.793916884889
90,376,2965.0,0.05,200.11884560483568,99.54529405147471
91,376,2275.0,0.05,233.46683789314108,105.90345906196757
92,376,4025.0,0.05,251.13432027938518,105.94745252487508
93,376,2410.0,0.05,233.8703956198185,106.49213155787042
94,376,1585.0,0.05,244.5040326219924,106.43413750668789
95,376,2245.0,0.05,247.74515224010386,105.70978978339662
96,376,2615.0,0.05,221.53076009547456,105.15266734995741
97,376,3235.0,0.05,236.11942489096458,105.11516260593496
98,376,2360.0,0.05,233.19505151789238,104.84504791016275
99,376,2520.0,0.05,229.42038569551832,105.23859835685568
100,376,1680.0,0.05,230.35710593487354,104.75550164567663
101,376,2175.0,0.05,251.50662117816032,110.92321018462485
102,376,1945.0,0.05,252.9214833442201,110.50237259966262
103,376,2550.0,0.05,251.6726154875248,110.18930238358517
104,376,2285.0,0.05,249.77169853575685,109.69937596422561
105,376,1640.0,0.05,243.27762983200398,110.1486899193297
106,376,2265.0,0.05,273.776907352691,117.76888062091584
107,376,2085.0,0.05,281.3860092568905,117.45594361487855
108,376,1995.0,0.05,269.24749549906306,118.0070430877361
109,376,2180.0,0.05,268.49901029911445,117.18837859782766
110,376,2195.0,0.05,275.2561461266051,117.84105682373047
111,376,3650.0,0.05,286.3653105674906,123.69070205282658
112,376,1910.0,0.05,282.53977655857165,124.10774900558147
113,376,2060.0,0.05,276.4390988451369,124.43279881172992
114,376,3520.0,0.05,294.0430368058225,123.51522480173314
115,376,1830.0,0.05,275.75520138030356,124.45584719231788
116,376,2475.0,0.05,308.6114369047449,129.62193411969125
117,376,1805.0,0.05,314.7929725849882,129.50574740957705
118,376,3750.0,0.05,310.9482616262233,130.15518829670359
119,376,1880.0,0.05,313.2851888372543,129.84443759918213
120,376,2040.0,0.05,317.11507322433147,129.34024177713596
121,376,2040.0,0.05,321.69674008957884,135.80278321529957
122,376,2075.0,0.05,312.315152837875,135.77195143192372
123,376,1830.0,0.05,301.8496894430607,135.25705540433844
124,376,2425.0,0.05,325.17748431956517,135.00946055067345
125,376,3745.0,0.05,301.6301470208675,134.92343957373436
126,376,2540.0,0.05,264.2578488918061,137.16657557386034
127,376,2045.0,0.05,271.9307594096407,137.1751164172558
128,376,2280.0,0.05,278.2104692662016,136.68582617982904
129,376,2050.0,0.05,263.25717101198563,136.92786622554698
130,376,2220.0,0.05,284.5674399315043,137.08135418181723
131,376,2145.0,0.05,328.2052912509188,143.50578409560183
132,376,2125.0,0.05,331.2824435132615,143.66944729013645
133,376,1695.0,0.05,326.58359036547074,143.47328021678518
134,376,1765.0,0.05,323.9856240495722,144.19941234588623
135,376,2710.0,0.05,334.0605662528505,143.91267112975424
136,376,2585.0,0.05,306.79731206691014,150.0935653118377
137,376,1980.0,0.05,318.28674858174423,149.58893853045524
138,376,2205.0,0.05,319.4290110811274,150.31139016658702
139,376,3080.0,0.05,316.308854955308,150.02506625398675
140,376,1965.0,0.05,333.6726111148266,150.4054996003496
141,376,3790.0,0.05,355.9588434544015,161.95331967130622
142,376,2425.0,0.05,336.77378273010254,162.81631595530408
143,376,1640.0,0.05,340.6679542216849,162.26427240574614
144,376,3330.0,0.05,331.9145318700912,162.30228764960106
145,376,3500.0,0.05,339.3724049405849,162.70032501220703
146,376,1730.0,0.05,449.6265141913231,171.422319574559
147,376,1780.0,0.05,404.79404195826106,171.4124727046236
148,376,2765.0,0.05,421.3504952775671,170.67377362352735
149,376,1760.0,0.05,409.74605087523764,171.47824705407976
150,376,2535.0,0.05,410.0425978518547,171.34417192986672
151,376,2475.0,0.05,431.00624478116947,173.30373589535978
152,376,1825.0,0.05,428.5205184043722,174.33688727845538
153,376,2450.0,0.05,428.1215538877122,173.55041597244588
154,376,3180.0,0.05,416.8191924805337,174.514185032946
155,376,2725.0,0.05,410.0865276417834,174.88653085586873
156,376,1745.0,0.05,362.503390251322,175.33041564454425
157,376,1740.0,0.05,362.93875657751204,174.31213212520518
158,376,2235.0,0.05,363.76627958581804,173.91313094281136
159,376,3330.0,0.05,356.6837301457182,174.49832879736067
160,376,2345.0,0.05,376.7671083693809,174.33227100778134
161,376,3805.0,0.05,408.51771859919774,175.1984700547888
162,376,2215.0,0.05,394.4575925989354,176.17328420598457
163,376,1815.0,0.05,392.71928539681943,174.94150697424055
164,376,3050.0,0.05,372.4698174659242,175.09200230050595
165,376,3495.0,0.05,396.5713568342493,175.1690384885098
166,376,1720.0,0.05,449.5334182698676,177.6257733284159
167,376,2000.0,0.05,408.84169592755904,177.86338339460656
168,376,2460.0,0.05,431.53760591466374,176.96202456697503
169,376,1745.0,0.05,402.78303166653245,177.44578718631826
170,376,2525.0,0.05,416.6963602431277,177.09362241055103
171,376,2470.0,0.05,358.4732513224825,176.31282396519438
172,376,1875.0,0.05,340.58109293592736,176.91634531224028
173,376,2315.0,0.05,343.75982235847636,176.2648041907777
174,376,3145.0,0.05,350.9800986026196,177.18364829205453
175,376,2445.0,0.05,322.1093751318911,177.01646354350638
176,376,1795.0,0.05,316.83337816278987,180.85024440034906
177,376,1680.0,0.05,308.111375382606,180.5604025658141
178,376,2300.0,0.05,327.3424747954024,180.08329890636688
179,376,3220.0,0.05,311.335598478926,180.5817132909247
180,376,1985.0,0.05,328.44249147049925,180.69282101570292
181,376,3435.0,0.05,336.8255701267973,183.378689826803
182,376,1935.0,0.05,320.84631084888537,183.55571791466247
183,376,1620.0,0.05,324.2724699263877,182.34391131299608
184,376,2965.0,0.05,301.15814560017685,182.61188381276233
185,376,3105.0,0.05,324.1279993057251,182.22448831923464
186,376,1760.0,0.05,319.91348229063317,181.08605522805072
187,376,1860.0,0.05,289.1798170678159,180.79668073451265
188,376,2650.0,0.05,319.9569459874579,180.4548311030611
189,376,1760.0,0.05,297.8507192895768,180.80047217835772
190,376,2330.0,0.05,337.95024412236313,181.04425069119068
191,376,2210.0,0.05,258.84292866321323,178.09227403681328
192,376,2030.0,0.05,260.47552623647323,178.5767647763516
193,376,1725.0,0.05,246.1070121704264,178.00757882950154
194,376,2965.0,0.05,273.9593037240049,178.45358357530958
195,376,2415.0,0.05,244.46819883711794,178.27376183043134
196,376,1675.0,0.05,256.98071532553814,184.73313416825965
197,376,1640.0,0.05,260.4854529259053,184.46359800785146
198,376,2350.0,0.05,268.7915860642778,184.09490747654692
199,376,3280.0,0.05,255.7991672170923,184.72332848893836
