episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2161.5,0.02,26.524936842989142,1.8467996398454052
1,376,1663.5,0.02,63.88728416726944,11.541567714924508
2,376,2248.0,0.02,62.929922134318254,11.0890807927923
3,376,1795.5,0.02,66.16229220654103,11.506367377778316
4,376,1452.5,0.02,61.150532555072864,11.351225196047032
5,376,1188.0,0.02,61.78515678770999,11.371894477529729
6,376,2386.0,0.02,81.47605793526832,20.110620239947703
7,376,2059.5,0.02,78.56104471835684,20.508306186249914
8,376,2307.5,0.02,77.09250325344979,20.643631191963845
9,376,1146.5,0.02,75.42941823918768,20.77105765139803
10,376,1439.5,0.02,74.22019037287286,20.73695497309908
11,376,1849.0,0.02,99.05899452655873,27.0867251284579
12,376,1581.5,0.02,94.74080467224121,27.117696899048827
13,376,1235.5,0.02,91.38617735720695,27.202033803818075
14,376,2092.5,0.02,91.25838655106564,27.179220184366752
15,376,2241.5,0.02,89.06527420307728,27.317568581155005
16,376,2195.0,0.02,110.57277964531107,33.66187115425759
17,376,1324.0,0.02,108.73122455718669,33.55331238279951
18,376,2677.0,0.02,106.99232339859009,33.71539850945168
19,376,2113.0,0.02,103.53567852872483,33.770204148393994
20,376,1640.0,0.02,101.58864734527913,33.58476640315766
21,376,1530.0,0.02,131.34264298702809,41.12692517929889
22,376,1779.5,0.02,129.42716472706897,41.34691898873512
23,376,1826.0,0.02,127.79477565846544,41.39718640104253
24,376,2266.0,0.02,122.63967583027292,40.98902055050464
25,376,1975.0,0.02,120.20804280423104,41.16411590576172
26,376,2012.5,0.02,137.51142692565918,48.18132566898427
27,376,2173.5,0.02,135.73116104653542,48.20342370297046
28,376,1404.5,0.02,131.45957640384106,48.36676019303342
29,376,2405.5,0.02,125.25364891011664,48.40170783184944
30,376,2284.0,0.02,124.97242218382816,48.163010942175035
31,376,1807.5,0.02,159.9362488401697,55.0637567398396
32,376,2195.0,0.02,159.16434065839078,54.802124622020315
33,376,2419.5,0.02,158.96287692861355,55.325472070815714
34,376,2102.5,0.02,150.67010554861514,55.44110135829195
35,376,2225.0,0.02,151.94460193147052,55.26658177883067
36,376,2536.5,0.02,169.2464030245517,61.64288570525798
37,376,1484.0,0.02,166.8317400140965,61.884696737248845
38,376,1956.0,0.02,167.4748413613502,62.005085934983924
39,376,2016.0,0.02,166.19368753027408,62.03180914736809
40,376,2118.5,0.02,162.9686097084208,61.882856013927054
41,376,1725.0,0.02,178.50907788378126,68.6288349273357
42,376,1833.5,0.02,178.64805049084603,68.70030709530445
43,376,1657.0,0.02,170.70480047388278,68.57068288072627
44,376,1170.0,0.02,175.51697582894184,68.79266411192874
45,376,1254.5,0.02,174.81287678251874,68.57866508402724
46,376,1878.0,0.02,203.07673801259793,78.66564306299738
47,376,2085.0,0.02,196.05930237059897,78.74499621289841
48,376,2380.0,0.02,185.05774926124735,78.50196168777791
49,376,2184.0,0.02,184.10961880582445,78.99848994802922
