episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2161.5,0.02,26.41494770361337,1.9714686670050423
1,376,1744.5,0.02,64.30130523316403,11.738722755553875
2,376,1514.5,0.02,62.86018645002487,11.462159718604799
3,376,1843.5,0.02,63.70986954709317,11.375719674090123
4,376,1511.5,0.02,60.83492960321142,11.354559762680784
5,376,1146.5,0.02,59.73120773092229,11.569144278130633
6,376,2324.0,0.02,78.5460807820584,17.648448649873124
7,376,2150.0,0.02,77.03606949461268,18.06480846506484
8,376,2049.5,0.02,72.50428781610854,18.196497899420716
9,376,1134.0,0.02,71.87322824559313,18.270820480711915
10,376,1316.0,0.02,71.55783553326384,18.25075191893476
11,376,1237.0,0.02,96.34527517886872,24.10376782112933
12,376,1617.5,0.02,91.94914081248831,24.023831595765785
13,376,1270.5,0.02,89.49278120284384,24.12018732314414
14,376,2128.5,0.02,87.28246732468301,24.16252653649513
15,376,2309.0,0.02,86.91657573618788,24.31215717944693
16,376,2181.0,0.02,108.09780858425384,30.478067453871382
17,376,1251.5,0.02,105.96231948568466,30.302139677899948
18,376,2662.5,0.02,102.69877576828003,30.439682255399987
19,376,1672.0,0.02,101.25000956717957,30.603498935699463
20,376,1620.0,0.02,101.61051613219242,30.37425522601351
21,376,1582.5,0.02,120.80678098759752,38.53683345368568
22,376,1541.0,0.02,120.99747769376064,38.802893207428305
23,376,1244.5,0.02,120.91105415465984,38.92219373520384
24,376,1496.0,0.02,113.50498474405167,38.26133738680089
25,376,1601.0,0.02,115.06637678755091,38.53478759400388
26,376,1984.0,0.02,132.9271414736484,45.200142485030156
27,376,1876.5,0.02,130.29931503661135,45.24553197495481
28,376,1467.5,0.02,127.69418611932308,45.44206339247683
29,376,2296.0,0.02,123.02757334201894,45.31459814436892
30,376,1704.0,0.02,121.91978388644279,45.30895299099861
31,376,1834.0,0.02,154.0134663987667,50.22280001133046
32,376,2167.0,0.02,150.516894746334,49.65887438997309
33,376,2420.0,0.02,150.77525379302654,50.24333164539743
34,376,2142.0,0.02,142.32365818226592,50.33765576748138
35,376,2312.0,0.02,140.92467279637114,50.064493311212416
36,376,2469.0,0.02,162.6648002482475,56.17203810874452
37,376,1717.5,0.02,163.10121596113166,56.47120238365011
38,376,2061.5,0.02,157.5847774566488,56.64745052824629
39,376,2001.0,0.02,155.49397478712365,56.78465497240107
40,376,2215.5,0.02,149.4511859163325,56.59103573129532
41,376,1571.5,0.02,179.75281928447967,64.7656175024966
42,376,2035.0,0.02,172.5945850534642,65.15005210105409
43,376,1695.0,0.02,167.11226755507448,64.88797403903718
44,376,1195.5,0.02,163.11557753542635,64.83377941618575
45,376,1268.5,0.02,165.62780332565308,64.69992651837937
46,376,2099.0,0.02,201.33245557419798,69.26626439804727
47,376,2219.0,0.02,192.04973341556305,69.480450092478
48,376,2166.0,0.02,185.1706611957956,69.48346195829676
49,376,2074.5,0.02,179.5884646151928,69.7009781269317
