episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2246.5,0.02,34.804625131963626,1.1505721649700826
1,376,2147.0,0.02,51.50204589011821,12.94127411474573
2,376,2293.5,0.02,46.11659514143112,13.432447775881341
3,376,2293.0,0.02,48.136237540143604,13.724108559020022
4,376,2149.0,0.02,47.4400667281861,13.722294908888797
5,376,2548.0,0.02,47.343995829845994,13.99980011392147
6,376,2270.0,0.02,62.500631596179716,24.04318062295305
7,376,2632.5,0.02,59.74183992122082,24.306372906299348
8,376,1929.5,0.02,59.19366198904971,24.34599091651592
9,376,2338.5,0.02,58.555041729135716,24.26884875399001
10,376,2846.0,0.02,55.84097993120234,24.444645075087852
11,376,2001.0,0.02,71.28053889883326,32.67128118555596
12,376,2406.5,0.02,68.17808687940557,32.79710651458578
13,376,2410.0,0.02,66.66209713448869,32.74496540617436
14,376,2502.0,0.02,65.33964310808385,32.93781121233676
15,376,2518.5,0.02,63.5413985049471,33.07363456360837
16,376,2128.5,0.02,89.6770498600412,41.032794282791464
17,376,2254.5,0.02,83.12761668448752,41.04023091336514
18,376,2856.0,0.02,82.57394282361294,41.12327838451304
19,376,2275.5,0.02,82.71265007587189,41.20024354407128
20,376,2434.0,0.02,81.2179565074596,41.0500650710248
21,376,2431.0,0.02,107.56660661291569,48.516078685192355
22,376,2325.0,0.02,106.25338160738032,48.77094270827922
23,376,2303.5,0.02,100.36269463376796,48.76760754686721
24,376,2251.0,0.02,103.03919227072534,48.472950255617185
25,376,1880.0,0.02,99.51745214868099,48.5953057471742
26,376,2523.5,0.02,120.55357876229793,56.109856351893
27,376,2524.5,0.02,118.33989665863362,56.14513964348651
28,376,2456.5,0.02,115.75341185103072,56.44051198756441
29,376,2559.5,0.02,112.54627155750356,56.4546726105061
30,376,2832.0,0.02,106.38247158172283,56.33458003591984
31,376,2764.5,0.02,140.01833722946492,66.71933983741923
32,376,1880.0,0.02,140.11735596555346,66.39157901926244
33,376,2913.5,0.02,134.90054240125292,66.93170035139043
34,376,1708.0,0.02,139.10628165590003,67.05598832191305
35,376,2484.5,0.02,128.29726162362607,66.68603624181544
36,376,2602.5,0.02,171.18626316557538,77.45198296486063
37,376,2575.0,0.02,163.04679353186424,77.57995717068935
38,376,2655.0,0.02,165.37203877022927,77.7846532172345
39,376,2453.0,0.02,161.21814431535438,77.9338699097329
40,376,2577.0,0.02,162.68907516560657,77.61004084729134
41,376,2548.5,0.02,177.69743160491294,86.33676920545862
42,376,2144.0,0.02,173.49860455127472,87.1439321599108
43,376,2518.0,0.02,184.1914176230735,86.66150927036367
44,376,2553.5,0.02,171.45774234609402,86.62689645239648
45,376,1887.5,0.02,172.94182721604693,86.49848207514337
46,376,2975.5,0.02,241.5456566810608,95.6996794152767
47,376,2301.0,0.02,221.94872948463927,95.70927650370497
48,376,2438.0,0.02,217.1858058685952,95.85986417405148
49,376,2507.0,0.02,220.2674227876866,95.75425448316209
