episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2246.5,0.02,34.804625131963626,1.1505721649700826
1,376,2147.0,0.02,51.50204589011821,12.94127411474573
2,376,2293.5,0.02,46.11659514143112,13.432447775881341
3,376,2293.0,0.02,48.136237540143604,13.724108559020022
4,376,2149.0,0.02,47.4400667281861,13.722294908888797
5,376,2548.0,0.02,47.343995829845994,13.99980011392147
6,376,2270.0,0.02,62.500631596179716,24.04318062295305
7,376,2632.5,0.02,59.74183992122082,24.306372906299348
8,376,1929.5,0.02,59.19366198904971,24.34599091651592
9,376,2338.5,0.02,58.555041729135716,24.26884875399001
10,376,2846.0,0.02,55.84097993120234,24.444645075087852
11,376,2001.0,0.02,71.28053889883326,32.67128118555596
12,376,2406.5,0.02,68.17808687940557,32.79710651458578
13,376,2410.0,0.02,66.66209713448869,32.74496540617436
14,376,2502.0,0.02,65.33964310808385,32.93781121233676
15,376,2518.5,0.02,63.5413985049471,33.07363456360837
