episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2148.5,0.02,34.12813229093919,1.108570257641889
1,376,2133.0,0.02,47.38903739604544,12.784485981819477
2,376,2235.0,0.02,42.05945691910196,13.33524259100569
3,376,2284.5,0.02,43.81174655670815,13.613265740110519
4,376,2090.5,0.02,43.17326517815285,13.62640714391749
5,376,2528.5,0.02,43.80468522995076,13.943866823581939
6,376,2231.0,0.02,55.6555479790302,24.128310741262233
7,376,2593.5,0.02,50.98175476459747,24.392802400791897
8,376,1910.0,0.02,48.9911196942025,24.373801733585115
9,376,2314.5,0.02,49.21781569846133,24.430904647137258
10,376,2846.0,0.02,46.31171164867726,24.529797812725636
11,376,2001.0,0.02,66.9951281344637,30.773405704092472
12,376,2396.5,0.02,62.725277053548936,30.868013006575563
13,376,2375.5,0.02,58.666766734833416,30.88484045292469
14,376,2458.5,0.02,60.02912248956396,30.985266076757554
15,376,2479.5,0.02,58.148022671963304,31.238047543992387
16,376,2070.0,0.02,78.09899939881994,40.82340389616946
17,376,2191.5,0.02,72.6945960521698,40.79737418763181
18,376,2797.5,0.02,68.0242187114472,40.801074951253035
19,376,2236.5,0.02,66.57937084360326,40.87934410825689
20,376,2395.5,0.02,67.49712385015285,40.90165285353965
21,376,2441.0,0.02,87.79841636596842,52.10555118195554
22,376,2364.0,0.02,87.47466383589075,52.62653873321858
23,376,2337.0,0.02,83.80132803511113,52.54001683377205
24,376,2260.5,0.02,81.85256343192242,52.23585585330395
25,376,1889.5,0.02,80.7994174754366,52.253140104577895
26,376,2513.5,0.02,99.0836862503214,56.84094628881901
27,376,2534.5,0.02,97.13117325052302,56.87379598617554
28,376,2451.0,0.02,92.18698581228865,57.23002752344659
29,376,2583.5,0.02,91.92060769872462,57.24665080740097
30,376,2822.5,0.02,83.58696919299186,57.098160479931124
31,376,2764.5,0.02,120.24121755234738,66.31014588538636
32,376,1895.0,0.02,116.47042896392497,66.0811658108488
33,376,2952.5,0.02,111.4118770335583,66.49811264809142
34,376,1795.5,0.02,115.09076430949759,66.48158769404634
35,376,2572.0,0.02,108.97459660185145,66.3361238215832
36,376,2671.0,0.02,132.6865569226285,72.51639975892736
37,376,2653.0,0.02,116.39201182507455,72.60928617639745
38,376,2743.0,0.02,124.0552094743607,72.91724965927449
39,376,2522.0,0.02,117.17248276446728,72.94251736174239
40,376,2670.0,0.02,122.83409251050746,72.74760460346303
41,376,2636.0,0.02,157.3591216472869,83.61486617555009
42,376,2232.0,0.02,141.72898725753134,83.9739584415517
43,376,2601.0,0.02,146.47269989581818,83.76383109802896
44,376,2581.5,0.02,144.8369918884115,83.88158207751334
45,376,1972.0,0.02,138.08401377657626,83.70640214960626
46,376,3053.5,0.02,185.55430015604546,91.99861319521641
47,376,2394.0,0.02,162.41507368899406,91.92638963334103
48,376,2531.0,0.02,163.58696806684455,92.53152025506851
49,376,2591.0,0.02,152.93406998857537,92.23717155862361
