episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2260.5,0.02,36.28129376997226,1.1594191582083082
1,376,2147.0,0.02,49.44932452161262,12.954396398143565
2,376,2274.0,0.02,44.1946923301575,13.40313719434941
3,376,2293.0,0.02,45.062815899544574,13.677582094009887
4,376,2110.0,0.02,44.671929577563674,13.678572824660767
5,376,2552.5,0.02,44.081453871219715,13.93471707942638
6,376,2245.0,0.02,58.86190338337675,24.177181096787148
7,376,2642.0,0.02,56.050098535862375,24.409090224732743
8,376,1929.5,0.02,55.61293073917957,24.449341824714175
9,376,2333.0,0.02,56.16441092592605,24.440584872631316
10,376,2850.5,0.02,54.31475503901218,24.608503894603
11,376,2015.0,0.02,68.26185776324982,32.56286369486058
12,376,2416.0,0.02,66.4692823278143,32.6893064620647
13,376,2390.5,0.02,63.9438309872404,32.62847861837834
14,376,2497.5,0.02,64.08266203961473,32.773174321397825
15,376,2542.5,0.02,62.10675789447541,33.003744805112795
16,376,2128.5,0.02,93.46458527889658,42.1517491036273
17,376,2230.5,0.02,87.32122730194254,42.0209916500335
18,376,2856.0,0.02,84.7926971912384,42.29993448866175
19,376,2275.5,0.02,85.40264405088222,42.295083421341914
20,376,2438.5,0.02,87.8602717632943,42.15002050805599
21,376,2460.0,0.02,106.23403354908558,51.619945658014174
22,376,2354.0,0.02,104.58310488437084,51.929217571907856
23,376,2323.0,0.02,98.91121733442266,51.96821992955309
24,376,2270.5,0.02,102.93704164281804,51.63424902773918
25,376,1905.0,0.02,99.08605983916749,51.73050125609053
26,376,2523.5,0.02,132.09581633831593,59.984322649367314
27,376,2524.5,0.02,130.02062993353985,60.09995077011433
28,376,2466.0,0.02,130.0429232982879,60.43169949917083
29,376,2579.0,0.02,125.43818767020043,60.3812962694371
30,376,2842.0,0.02,121.49278686401692,60.375273491473905
31,376,2774.5,0.02,152.88441713820112,69.14397671882142
32,376,1905.0,0.02,155.33475334086316,68.96684766323008
33,376,2923.5,0.02,146.96789338740896,69.31777203336675
34,376,1727.5,0.02,153.03284711026132,69.4515029724608
35,376,2519.0,0.02,144.7069283343376,69.40714138112169
36,376,2622.0,0.02,190.16503347234524,77.01171507733933
37,376,2604.5,0.02,179.78282912234042,77.09477875080515
38,376,2670.0,0.02,178.94946463564608,77.35240262619992
39,376,2468.0,0.02,179.49558923599568,77.41065171424378
40,376,2607.0,0.02,179.7548844154845,77.20082074023307
41,376,2544.0,0.02,197.6211067564944,84.33429596271921
42,376,2154.0,0.02,193.86963219338276,85.05777172332114
43,376,2533.0,0.02,198.47252853880536,84.5432047539569
44,376,2549.0,0.02,192.94482063739858,84.62676817305545
45,376,1898.0,0.02,189.98052102961438,84.5220018346259
46,376,2976.0,0.02,232.11084510924968,90.70038176597433
47,376,2326.0,0.02,219.76197025623728,90.74747081513101
48,376,2449.0,0.02,211.8651767690131,90.77754613186451
49,376,2508.0,0.02,217.86338614402933,90.94931446237767
