episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2187.5,0.02,34.86296659690336,1.0555752300123964
1,376,2152.5,0.02,50.35205860848122,13.063384726326516
2,376,2274.0,0.02,44.83831772144804,13.539827859148065
3,376,2337.5,0.02,47.52084788616667,13.864935233237896
4,376,2129.5,0.02,47.10262083246353,13.934180893796556
5,376,2552.5,0.02,46.96702331177732,14.163688525240472
6,376,2245.0,0.02,56.04289388149343,24.28665700618257
7,376,2642.0,0.02,53.82742786914744,24.484314695317696
8,376,1943.5,0.02,53.548202377684575,24.53274132343049
9,376,2333.0,0.02,54.279090455237856,24.54887660513533
10,376,2850.5,0.02,51.26853552016806,24.60810549715732
11,376,2009.5,0.02,83.06113207593877,33.97575918664324
12,376,2440.0,0.02,79.72156267977775,34.075401600371016
13,376,2414.5,0.02,75.79167590750025,34.03524883757246
14,376,2521.5,0.02,75.5800022318008,34.23794807779028
15,376,2547.0,0.02,72.58628678829112,34.360743974117526
16,376,2123.0,0.02,98.91344406249675,42.387457776576916
17,376,2254.5,0.02,91.34046279623153,42.34777720431064
18,376,2875.0,0.02,87.11223221332469,42.43779785075086
19,376,2264.5,0.02,85.1622750505488,42.51377598782803
20,376,2443.5,0.02,83.05510368752986,42.360441583268184
21,376,2445.0,0.02,105.58327875746058,51.585278957448104
22,376,2358.5,0.02,102.99753923619048,51.87396651125969
23,376,2302.5,0.02,96.75870601674343,51.77427573914223
24,376,2245.5,0.02,97.09278382139003,51.64740160678296
25,376,1899.5,0.02,94.33937484660048,51.677708706957226
26,376,2513.5,0.02,119.78958839051266,56.07844636795369
27,376,2534.0,0.02,113.70789076419587,56.19269575971238
28,376,2461.0,0.02,111.01474038083502,56.26606827593864
29,376,2564.0,0.02,109.06215159436489,56.33908067865575
30,376,2832.0,0.02,104.59681107135529,56.27430486679077
31,376,2774.0,0.02,125.33422345303475,64.2406875833552
32,376,1880.0,0.02,119.1651312442536,64.1451239078603
33,376,2933.0,0.02,123.15431615139576,64.27856202835733
34,376,1711.5,0.02,117.68283859212347,64.42017466971215
35,376,2508.5,0.02,110.99012492565399,64.36587535574081
36,376,2602.5,0.02,147.97101050234855,72.23289934117743
37,376,2575.0,0.02,142.30144877129413,72.42006563633046
38,376,2659.5,0.02,145.4956485464218,72.39983242116075
39,376,2477.0,0.02,138.86182615604807,72.62051919166078
40,376,2596.5,0.02,138.00871097280623,72.56382104183766
41,376,2572.5,0.02,159.35616441483194,78.4108135142225
42,376,2148.5,0.02,150.0688522420031,78.79825291735061
43,376,2518.0,0.02,153.31029028588154,78.73091920893243
44,376,2553.5,0.02,147.97740300158236,78.57502549759884
45,376,1907.0,0.02,148.56284704614194,78.53733427981113
46,376,2995.0,0.02,184.67190397546648,86.27180478927937
47,376,2320.5,0.02,173.919381172099,86.32224513114767
48,376,2457.5,0.02,164.67732191085815,86.45789523834878
49,376,2526.5,0.02,166.53212068435994,86.29514592759152
