episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2181.0,0.02,26.892555880617316,1.880999293965937
1,376,1777.0,0.02,65.575867942039,12.567867133211582
2,376,2284.0,0.02,65.07478003298982,12.237639640239959
3,376,1864.5,0.02,71.3490979925115,12.807584176672266
4,376,1651.0,0.02,68.44019895918827,12.613233464829465
5,376,1219.5,0.02,67.51319792422842,12.8035567770613
6,376,2574.0,0.02,77.44228391444429,20.49159859342778
7,376,2095.5,0.02,75.2061440995399,20.92312851865241
8,376,2319.5,0.02,72.78024361488667,20.847272829806553
9,376,918.0,0.02,72.5066324345609,20.91257887190961
10,376,1493.5,0.02,73.46142735379807,20.812682608340648
11,376,1861.0,0.02,94.45857708504859,27.977278714484356
12,376,1700.5,0.02,89.96067665992899,28.04493656564266
13,376,1043.5,0.02,88.81963120115564,28.068049968557155
14,376,1960.0,0.02,87.88575190686166,28.062945513015098
15,376,2400.5,0.02,88.08066529923298,28.174797382760556
16,376,2183.5,0.02,115.52912121630729,34.68383398461849
17,376,1043.5,0.02,112.18760217504298,34.4659934297521
18,376,2773.5,0.02,109.40181405493554,34.62049131190523
19,376,2098.5,0.02,108.55999371346007,34.721430545157574
20,376,1622.5,0.02,106.36138156119813,34.5239466961394
21,376,1568.0,0.02,144.97263228639642,43.09573858342272
22,376,2108.0,0.02,147.16839389598115,43.440283613002045
23,376,1836.0,0.02,144.78315242807915,43.55853926881831
24,376,2055.0,0.02,142.48778698292185,43.07545106968981
25,376,1887.0,0.02,142.68563374052655,43.250508257683286
26,376,1929.5,0.02,170.10900234668813,50.62383150547109
27,376,2154.5,0.02,172.31002566154967,50.73477706503361
28,376,1397.5,0.02,170.10109515900308,50.97803217299441
29,376,2404.0,0.02,164.06063357819903,50.80451946055636
30,376,2307.5,0.02,166.03660667703508,50.712556138951726
31,376,1842.0,0.02,205.5904216563448,57.64739908056056
32,376,1935.0,0.02,209.85367115507734,57.287293860252866
33,376,2345.0,0.02,209.92249253455628,57.91009399738718
34,376,2040.5,0.02,205.02638751902478,58.03314398704691
35,376,2304.0,0.02,205.80071327534128,57.86580174019996
36,376,2468.0,0.02,227.77138271737607,65.10772865376573
37,376,1587.0,0.02,235.07154196881234,65.30265572730531
38,376,2266.5,0.02,228.51633707005928,65.7272310256958
39,376,1993.5,0.02,233.17950758020928,65.77637029201426
40,376,2252.0,0.02,234.35515961748487,65.36409279640685
41,376,1474.5,0.02,265.3991689884916,72.58949689662202
42,376,2056.0,0.02,266.5815133642643,72.83782350256088
43,376,1729.0,0.02,261.4383124493538,72.69039849017528
44,376,1342.5,0.02,268.92039798168423,72.6277062334913
45,376,1220.5,0.02,265.8186750209078,72.46667567719804
46,376,2010.0,0.02,313.3194776900271,80.94851096132969
47,376,2405.5,0.02,309.5362746867728,81.17374901061362
48,376,2202.5,0.02,296.00627822064337,80.85749662683365
49,376,2221.5,0.02,295.7338633030019,81.29219769416972
