episode,steps,reward_return,epsilon,avg_loss,avg_q
0,376,815.0,0.988125,64.69579519936072,2.428351348832089
1,376,160.0,0.9762183333333333,42.99335169792175,4.198377903788648
2,376,375.0,0.9643116666666667,31.48097083416391,3.9317794328040265
3,376,905.0,0.952405,30.118857992456313,4.188310406943585
4,376,260.0,0.9404983333333333,30.393411301551982,3.9784560818621455
5,376,-110.0,0.9285916666666667,30.57083790353004,3.7530808318802653
6,376,35.0,0.916685,39.71054869509758,5.937206373569813
7,376,260.0,0.9047783333333334,37.902663241041466,5.833716977149882
8,376,415.0,0.8928716666666667,36.78012148370134,6.021732732336572
9,376,785.0,0.880965,37.36045775007695,5.991940349974531
10,376,475.0,0.8690583333333334,37.02901927968289,5.778412938752073
11,376,200.0,0.8571516666666666,49.533712463175995,8.260623261649558
12,376,-95.0,0.845245,47.83182278592536,7.860737680120671
13,376,735.0,0.8333383333333333,46.719356526719764,7.884008921207266
14,376,1760.0,0.8214316666666667,47.419168061398445,7.933498751609884
15,376,1060.0,0.809525,47.997455449814495,8.223545401020253
16,376,1425.0,0.7976183333333333,65.34171218060433,9.905440108573183
17,376,-70.0,0.7857116666666667,64.55053708908406,9.864549962764091
18,376,1130.0,0.773805,64.35096147212576,9.93462168980152
19,376,-195.0,0.7618983333333333,63.5401796482979,9.961918986224113
20,376,2305.0,0.05,65.10411179319341,9.775659047542735
21,376,920.0,0.05,96.91193491347293,13.88751032631448
22,376,365.0,0.05,101.08682993625072,13.36614729242122
23,376,4115.0,0.05,100.90115144404959,13.441354023649337
24,376,6845.0,0.05,106.2989653019195,14.247227826017015
25,376,4465.0,0.05,111.87931111518373,15.392407688688724
26,376,-2815.0,0.05,147.90704394401388,19.006772391339567
27,376,5625.0,0.05,155.53386617214122,19.263107675187133
28,376,6375.0,0.05,155.60345507682638,19.82691699393252
29,376,120.0,0.05,160.3325782329478,20.018846610759166
30,376,7145.0,0.05,165.63500331310516,20.35740423709788
31,376,6940.0,0.05,196.38579871806692,27.95016612905137
32,376,-970.0,0.05,196.5056761883675,27.717281092988685
33,376,6425.0,0.05,194.0836650767225,28.202772023830008
34,376,2840.0,0.05,196.80810339907381,28.64227076794239
35,376,5465.0,0.05,199.69495227489065,28.588047316733828
36,376,965.0,0.05,225.70576519661762,36.13951132145334
37,376,1705.0,0.05,229.72247622875457,36.34119448255986
38,376,5545.0,0.05,220.55748186720177,36.36825540217947
39,376,2065.0,0.05,231.2746932455834,36.84974633886459
40,376,2290.0,0.05,230.24849932244484,36.18731909102582
41,376,6520.0,0.05,241.45763667086337,40.80509526678856
42,376,4000.0,0.05,242.30781250811637,40.6546542390864
43,376,6620.0,0.05,242.59231683041187,41.54188491435761
44,376,1175.0,0.05,250.54088608762052,41.75129422228387
45,376,905.0,0.05,244.1064461241377,40.62978468042739
46,376,1630.0,0.05,287.4641140065295,48.799880443735326
47,376,6180.0,0.05,277.16408258803347,48.945221444393724
48,376,2550.0,0.05,273.87350041815574,48.55149258958532
49,376,3610.0,0.05,275.5829835445323,49.40975444874865
50,376,5255.0,0.05,271.68299756151566,49.91064015855181
51,376,6250.0,0.05,303.8249846113489,53.27568084635633
52,376,6965.0,0.05,301.4918282894378,53.48032325379392
53,376,1480.0,0.05,296.3944429032346,53.012919446255296
54,376,3555.0,0.05,293.0184168714158,53.34331873629956
55,376,6110.0,0.05,289.16373013435526,53.65471885559407
56,376,2190.0,0.05,311.51006333371424,59.66709677716519
57,376,3560.0,0.05,304.7481443526897,59.9744481431677
58,376,900.0,0.05,303.8551779402063,59.094539226369655
59,376,7340.0,0.05,304.27637388351116,59.73939853018903
60,376,3095.0,0.05,297.4389040520851,59.517073438522665
61,376,1075.0,0.05,345.1876251545358,63.848102610161966
62,376,6550.0,0.05,337.83509315328394,64.08029515692529
63,376,7245.0,0.05,338.2967649419257,65.45811126587239
64,376,560.0,0.05,343.49532450006365,65.26166571962072
65,376,855.0,0.05,338.1517889956211,64.88313005325642
66,376,6135.0,0.05,325.6441577343231,67.98480277365826
67,376,4485.0,0.05,323.73434095179783,67.74495876596329
68,376,1955.0,0.05,318.10704462578957,67.89265152748595
69,376,2660.0,0.05,322.86495939214177,67.5264454395213
70,376,3420.0,0.05,320.50797815525783,67.56047062163657
71,376,3795.0,0.05,343.77353858947754,72.5391304137859
72,376,2190.0,0.05,338.83874584766147,72.47940812212356
73,376,4500.0,0.05,343.9048860022362,72.73786079122665
74,376,4005.0,0.05,334.72395312532467,72.55855118974726
75,376,4205.0,0.05,327.55882259125406,73.31625629993195
76,376,3435.0,0.05,432.34281844281134,84.4071074749561
77,376,4620.0,0.05,411.2231711123852,85.13884002604384
78,376,3630.0,0.05,406.11886129988,85.68581003838398
79,376,5650.0,0.05,390.61165436278,85.51445080371613
80,376,2575.0,0.05,407.8293053647305,84.96161471021937
81,376,4705.0,0.05,409.880975926176,97.08248554392064
82,376,3250.0,0.05,411.40849239268204,97.5664101255701
83,376,2405.0,0.05,407.7170070891685,96.73545283459603
84,376,6500.0,0.05,403.2801178871317,97.81424717192954
85,376,890.0,0.05,408.47734857112806,97.87668248440357
86,376,6875.0,0.05,464.6997356008976,105.84161456087803
87,376,3820.0,0.05,458.12292249152,105.60865176992213
88,376,365.0,0.05,443.86354872520934,106.57015185660504
89,376,4185.0,0.05,439.87199357215394,104.63781876259662
90,376,4835.0,0.05,449.3915863442928,105.81871385777251
91,376,2190.0,0.05,542.9140481340124,111.36532408125858
92,376,6995.0,0.05,545.1044620757407,112.20215109561352
93,376,5090.0,0.05,518.5350996788512,111.72967277689183
94,376,540.0,0.05,514.8436922519764,112.38744764125093
95,376,3155.0,0.05,534.0260638379036,111.30903834484994
96,376,3765.0,0.05,649.0614304238177,126.36469749694174
97,376,7175.0,0.05,676.4679416088347,127.64768401612626
98,376,1285.0,0.05,672.9325858582841,127.18384572292896
99,376,4985.0,0.05,652.476677265573,127.05593295807535
100,376,2030.0,0.05,699.2974651417834,126.20357541835054
101,376,4470.0,0.05,686.6623988455915,137.34181235698944
102,376,1565.0,0.05,686.8235515026336,136.85796684914447
103,376,6145.0,0.05,705.9739326314723,136.6323866539813
104,376,3665.0,0.05,679.4374911937308,136.03534826319267
105,376,320.0,0.05,670.733885988276,136.0361837427667
106,376,3610.0,0.05,697.4426029286486,145.73474283421294
107,376,1425.0,0.05,678.2245494761365,145.1978028682952
108,376,3180.0,0.05,672.5955443686628,145.31747014471824
109,376,945.0,0.05,668.0509749879228,144.05267281227924
110,376,6515.0,0.05,680.7837657522648,144.704328638442
111,376,4450.0,0.05,751.0393755486671,154.27116864792845
112,376,2955.0,0.05,740.8939641587277,154.33140200756966
113,376,3125.0,0.05,727.2523306177018,154.78408101264466
114,376,6695.0,0.05,764.8681294867333,153.67641834502524
115,376,-460.0,0.05,710.6248348317248,154.35683173321664
116,376,4030.0,0.05,847.6689229924629,157.349211713101
117,376,-385.0,0.05,833.6792376092139,156.23787518765064
118,376,6575.0,0.05,836.580196786434,157.29156540809794
119,376,550.0,0.05,829.3242876580421,155.40545431096504
120,376,3255.0,0.05,860.259155435765,155.04788557012031
121,376,-1365.0,0.05,909.0421551643534,165.08834138829658
122,376,-220.0,0.05,863.5571901037338,165.00558569076213
123,376,445.0,0.05,915.460865020752,163.8350117866029
124,376,1080.0,0.05,909.581727048184,162.62613639425723
125,376,5990.0,0.05,901.2950672393149,163.72827306706856
126,376,4720.0,0.05,824.6589495882075,173.28905681853598
127,376,-340.0,0.05,860.7253330311877,173.510452554581
128,376,6420.0,0.05,830.3125265405533,172.75379822102
129,376,5685.0,0.05,796.7054815089449,172.88646880616534
130,376,7165.0,0.05,837.8237574151221,173.38344220912202
131,376,3710.0,0.05,914.0908893828696,173.18197749523407
132,376,625.0,0.05,934.3585122291078,173.66844083907756
133,376,690.0,0.05,896.9455883756597,172.4180279183895
134,376,960.0,0.05,895.4229520432492,172.64888268328727
135,376,2025.0,0.05,899.7528722235497,173.3638442627927
136,376,2650.0,0.05,967.1834888052433,170.98435434382012
137,376,1540.0,0.05,1015.9491969981092,170.31096657286298
138,376,6445.0,0.05,944.4049426139669,170.97008668615462
139,376,2540.0,0.05,1001.4208727897482,171.96064405238374
140,376,2475.0,0.05,1001.6193773797218,171.02185155990276
141,376,6635.0,0.05,1091.9785729266227,168.71438359199686
142,376,5300.0,0.05,1062.8100914650774,170.10003300930592
143,376,190.0,0.05,1089.9774887409617,168.58643495275618
144,376,3555.0,0.05,1044.657829609323,169.1997176637041
145,376,7360.0,0.05,1073.6441033545962,170.15480609650308
146,376,270.0,0.05,1147.6781702244537,187.79856292237628
147,376,-1225.0,0.05,1079.5337608012746,187.40669335710243
148,376,4055.0,0.05,1121.6194487226771,185.95770312370138
149,376,110.0,0.05,1091.1888780796783,186.6484097014082
150,376,3365.0,0.05,1038.241847423797,186.64862097070574
151,376,1470.0,0.05,1054.9669675624116,184.21026554513486
152,376,-1515.0,0.05,1062.8794728542896,185.5947448649305
153,376,-105.0,0.05,1040.2227601396276,184.89240918260938
154,376,3170.0,0.05,1052.061414353391,186.41311032721336
155,376,970.0,0.05,1010.0309624367571,185.5070140108149
