2026-02-23 16:16:22 | INFO | Logging dir: runs/d3qn_exposure08_rerun_8864ec
2026-02-23 16:18:51 | INFO | Episode 10/200 | reward_return -5.52 | epsilon 0.881 | avg_loss 0.0026 | avg_q -0.0128
2026-02-23 16:21:23 | INFO | Episode 20/200 | reward_return -4.51 | epsilon 0.762 | avg_loss 0.0024 | avg_q -0.0075
2026-02-23 16:24:00 | INFO | Episode 30/200 | reward_return -2.97 | epsilon 0.643 | avg_loss 0.0023 | avg_q 0.0053
2026-02-23 16:26:36 | INFO | Episode 40/200 | reward_return -1.52 | epsilon 0.524 | avg_loss 0.0027 | avg_q 0.0127
2026-02-23 16:29:12 | INFO | Episode 50/200 | reward_return -1.34 | epsilon 0.405 | avg_loss 0.0024 | avg_q 0.0290
2026-02-23 16:31:48 | INFO | Episode 60/200 | reward_return -1.24 | epsilon 0.286 | avg_loss 0.0025 | avg_q 0.0375
2026-02-23 16:34:19 | INFO | Episode 70/200 | reward_return -0.26 | epsilon 0.167 | avg_loss 0.0026 | avg_q 0.0324
2026-02-23 16:36:48 | INFO | Episode 80/200 | reward_return 0.17 | epsilon 0.050 | avg_loss 0.0025 | avg_q 0.0375
2026-02-23 16:39:20 | INFO | Episode 90/200 | reward_return -0.30 | epsilon 0.050 | avg_loss 0.0026 | avg_q 0.0264
2026-02-23 16:41:52 | INFO | Episode 100/200 | reward_return 0.47 | epsilon 0.050 | avg_loss 0.0027 | avg_q 0.0374
2026-02-23 16:44:24 | INFO | Episode 110/200 | reward_return -0.76 | epsilon 0.050 | avg_loss 0.0026 | avg_q 0.0513
2026-02-23 16:46:56 | INFO | Episode 120/200 | reward_return -0.43 | epsilon 0.050 | avg_loss 0.0026 | avg_q 0.0579
2026-02-23 16:49:29 | INFO | Episode 130/200 | reward_return -0.12 | epsilon 0.050 | avg_loss 0.0024 | avg_q 0.0628
2026-02-23 16:52:01 | INFO | Episode 140/200 | reward_return 0.08 | epsilon 0.050 | avg_loss 0.0027 | avg_q 0.0757
2026-02-23 16:54:33 | INFO | Episode 150/200 | reward_return -0.05 | epsilon 0.050 | avg_loss 0.0027 | avg_q 0.0749
2026-02-23 16:57:06 | INFO | Episode 160/200 | reward_return 0.00 | epsilon 0.050 | avg_loss 0.0026 | avg_q 0.0862
2026-02-23 16:59:38 | INFO | Episode 170/200 | reward_return -0.42 | epsilon 0.050 | avg_loss 0.0027 | avg_q 0.0899
2026-02-23 17:02:10 | INFO | Episode 180/200 | reward_return -0.51 | epsilon 0.050 | avg_loss 0.0026 | avg_q 0.1031
2026-02-23 17:04:44 | INFO | Episode 190/200 | reward_return -0.42 | epsilon 0.050 | avg_loss 0.0027 | avg_q 0.1169
2026-02-23 17:07:20 | INFO | Episode 200/200 | reward_return -0.02 | epsilon 0.050 | avg_loss 0.0027 | avg_q 0.1303
2026-02-23 17:07:20 | INFO | Run artifacts saved to runs/d3qn_exposure08_rerun_8864ec
