2026-02-21 09:53:10 | INFO | Logging dir: runs/sig_enhanced_sellall_pos5_e200_df84f3
2026-02-21 09:55:04 | INFO | Episode 10/200 | reward_return -295.00 | epsilon 0.881 | avg_loss 2.0312 | avg_q -0.8917
2026-02-21 09:57:00 | INFO | Episode 20/200 | reward_return -185.23 | epsilon 0.762 | avg_loss 1.8652 | avg_q -0.7885
2026-02-21 09:58:57 | INFO | Episode 30/200 | reward_return -194.76 | epsilon 0.643 | avg_loss 1.7231 | avg_q -0.7015
2026-02-21 10:00:56 | INFO | Episode 40/200 | reward_return -80.00 | epsilon 0.524 | avg_loss 1.6288 | avg_q -0.6346
2026-02-21 10:02:52 | INFO | Episode 50/200 | reward_return -65.00 | epsilon 0.405 | avg_loss 1.4955 | avg_q -0.5595
2026-02-21 10:04:51 | INFO | Episode 60/200 | reward_return -25.52 | epsilon 0.286 | avg_loss 1.3329 | avg_q -0.4807
2026-02-21 10:06:48 | INFO | Episode 70/200 | reward_return -5.44 | epsilon 0.167 | avg_loss 1.1578 | avg_q -0.4029
2026-02-21 10:08:50 | INFO | Episode 80/200 | reward_return -0.18 | epsilon 0.050 | avg_loss 1.0656 | avg_q -0.3728
2026-02-21 10:10:47 | INFO | Episode 90/200 | reward_return -0.13 | epsilon 0.050 | avg_loss 0.9473 | avg_q -0.3119
2026-02-21 10:12:45 | INFO | Episode 100/200 | reward_return -4.86 | epsilon 0.050 | avg_loss 0.8321 | avg_q -0.2409
2026-02-21 10:14:36 | INFO | Episode 110/200 | reward_return -0.45 | epsilon 0.050 | avg_loss 0.7850 | avg_q -0.2437
2026-02-21 10:16:34 | INFO | Episode 120/200 | reward_return -9.95 | epsilon 0.050 | avg_loss 0.7431 | avg_q -0.2107
2026-02-21 10:18:32 | INFO | Episode 130/200 | reward_return -5.06 | epsilon 0.050 | avg_loss 0.6739 | avg_q -0.1741
2026-02-21 10:20:27 | INFO | Episode 140/200 | reward_return 0.04 | epsilon 0.050 | avg_loss 0.5485 | avg_q -0.1120
2026-02-21 10:22:20 | INFO | Episode 150/200 | reward_return 0.02 | epsilon 0.050 | avg_loss 0.4034 | avg_q -0.0582
2026-02-21 10:24:13 | INFO | Episode 160/200 | reward_return -4.63 | epsilon 0.050 | avg_loss 0.3151 | avg_q -0.0505
2026-02-21 10:26:06 | INFO | Episode 170/200 | reward_return 0.16 | epsilon 0.050 | avg_loss 0.1938 | avg_q -0.0083
2026-02-21 10:27:58 | INFO | Episode 180/200 | reward_return -0.67 | epsilon 0.050 | avg_loss 0.1012 | avg_q -0.0044
2026-02-21 10:29:51 | INFO | Episode 190/200 | reward_return -0.19 | epsilon 0.050 | avg_loss 0.0519 | avg_q 0.0278
2026-02-21 10:31:44 | INFO | Episode 200/200 | reward_return -4.67 | epsilon 0.050 | avg_loss 0.0294 | avg_q 0.0363
2026-02-21 10:31:44 | INFO | Run artifacts saved to runs/sig_enhanced_sellall_pos5_e200_df84f3
2026-02-21 12:12:52 | INFO | Evaluation average reward_return over 50 episodes: -2.21
