2026-02-24 18:51:24 | INFO | Logging dir: runs/sac_tuned_low_entropy_e200_a848d1
2026-02-24 18:51:47 | INFO | Episode 10/200 | reward_return -0.2276 | return_rate -47.76% | q1_loss 0.0044 | q2_loss 0.0044 | actor_loss -1.1009 | alpha 0.0874
2026-02-24 18:52:18 | INFO | Episode 20/200 | reward_return 0.2744 | return_rate 489.47% | q1_loss 0.0061 | q2_loss 0.0061 | actor_loss -1.3385 | alpha 0.0285
2026-02-24 18:52:49 | INFO | Episode 30/200 | reward_return -0.0671 | return_rate 26.97% | q1_loss 0.0045 | q2_loss 0.0045 | actor_loss -1.1161 | alpha 0.0095
2026-02-24 18:53:20 | INFO | Episode 40/200 | reward_return 0.4797 | return_rate 15.89% | q1_loss 0.0037 | q2_loss 0.0038 | actor_loss -0.8819 | alpha 0.0034
2026-02-24 18:53:51 | INFO | Episode 50/200 | reward_return 0.0570 | return_rate -0.81% | q1_loss 0.0030 | q2_loss 0.0031 | actor_loss -0.6697 | alpha 0.0015
2026-02-24 18:54:22 | INFO | Episode 60/200 | reward_return 0.1854 | return_rate -30.18% | q1_loss 0.0027 | q2_loss 0.0027 | actor_loss -0.5020 | alpha 0.0011
2026-02-24 18:54:53 | INFO | Episode 70/200 | reward_return 0.1929 | return_rate 168.14% | q1_loss 0.0024 | q2_loss 0.0025 | actor_loss -0.3623 | alpha 0.0011
2026-02-24 18:55:24 | INFO | Episode 80/200 | reward_return 0.0662 | return_rate 25.87% | q1_loss 0.0023 | q2_loss 0.0023 | actor_loss -0.2490 | alpha 0.0010
2026-02-24 18:55:55 | INFO | Episode 90/200 | reward_return 0.1550 | return_rate 109.21% | q1_loss 0.0022 | q2_loss 0.0022 | actor_loss -0.1515 | alpha 0.0009
2026-02-24 18:56:26 | INFO | Episode 100/200 | reward_return 0.7440 | return_rate 4.10% | q1_loss 0.0021 | q2_loss 0.0021 | actor_loss -0.0868 | alpha 0.0011
2026-02-24 18:56:56 | INFO | Episode 110/200 | reward_return -0.3092 | return_rate 45.17% | q1_loss 0.0022 | q2_loss 0.0022 | actor_loss -0.0275 | alpha 0.0011
2026-02-24 18:57:24 | INFO | Episode 120/200 | reward_return -0.3858 | return_rate 51.73% | q1_loss 0.0021 | q2_loss 0.0021 | actor_loss 0.0227 | alpha 0.0011
2026-02-24 18:57:52 | INFO | Episode 130/200 | reward_return -0.2916 | return_rate 295.46% | q1_loss 0.0022 | q2_loss 0.0022 | actor_loss 0.0650 | alpha 0.0010
2026-02-24 18:58:23 | INFO | Episode 140/200 | reward_return 0.1738 | return_rate 37.56% | q1_loss 0.0022 | q2_loss 0.0022 | actor_loss 0.1035 | alpha 0.0011
2026-02-24 18:58:54 | INFO | Episode 150/200 | reward_return 0.0712 | return_rate 53.73% | q1_loss 0.0022 | q2_loss 0.0022 | actor_loss 0.1402 | alpha 0.0012
2026-02-24 18:59:25 | INFO | Episode 160/200 | reward_return 0.0903 | return_rate -20.30% | q1_loss 0.0022 | q2_loss 0.0022 | actor_loss 0.1684 | alpha 0.0013
2026-02-24 18:59:56 | INFO | Episode 170/200 | reward_return 0.2445 | return_rate 42.35% | q1_loss 0.0022 | q2_loss 0.0022 | actor_loss 0.1923 | alpha 0.0012
2026-02-24 19:00:27 | INFO | Episode 180/200 | reward_return 0.4317 | return_rate 17.27% | q1_loss 0.0021 | q2_loss 0.0022 | actor_loss 0.2149 | alpha 0.0011
2026-02-24 19:00:58 | INFO | Episode 190/200 | reward_return -0.1113 | return_rate 138.71% | q1_loss 0.0022 | q2_loss 0.0022 | actor_loss 0.2356 | alpha 0.0012
2026-02-24 19:01:29 | INFO | Episode 200/200 | reward_return -0.0242 | return_rate 156.56% | q1_loss 0.0023 | q2_loss 0.0024 | actor_loss 0.2566 | alpha 0.0012
2026-02-24 19:01:29 | INFO | Run artifacts saved to runs/sac_tuned_low_entropy_e200_a848d1
